symbol,name,sector,industry,marketCap
AMT,American Tower Corporation,Real Estate,REIT - Specialty,95452971008.0
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,58225057792.0
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,43172495360.0
IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty,27269480448.0
WY,Weyerhaeuser Company,Real Estate,REIT - Specialty,18665490432.0
EPR,EPR Properties,Real Estate,REIT - Specialty,4129325568.0
RYN,Rayonier Inc.,Real Estate,REIT - Specialty,4104357888.0
OUT,OUTFRONT Media Inc.,Real Estate,REIT - Specialty,3123762944.0
FPI,Farmland Partners Inc.,Real Estate,REIT - Specialty,494945696.0
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,58225057792.0
EPR,EPR Properties,Real Estate,REIT - Specialty,4129325568.0
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,76939698176.0
SBAC,SBA Communications Corporation,Real Estate,REIT - Specialty,21996589056.0
GLPI,"Gaming and Leisure Properties, Inc.",Real Estate,REIT - Specialty,13587213312.0
LAMR,Lamar Advertising Company,Real Estate,REIT - Specialty,12880117760.0
PCH,PotlatchDeltic Corporation,Real Estate,REIT - Specialty,3248330496.0
UNIT,Unity Group LLC,Real Estate,REIT - Specialty,1551009664.0
LANDM,Gladstone Land Corporation,Real Estate,REIT - Specialty,408054400.0
LAND,Gladstone Land Corporation,Real Estate,REIT - Specialty,332899232.0
SELF,"Global Self Storage, Inc.",Real Estate,REIT - Specialty,61793188.0
