symbol,name,sector,industry,marketCap,marketCap_str
UNP,Union Pacific Corporation,Industrials,Railroads,132585955328.0,132.586B
CP,Canadian Pacific Kansas City Limited,Industrials,Railroads,69940592640.0,69.941B
NSC,Norfolk Southern Corporation,Industrials,Railroads,62814633984.0,62.815B
CSX,CSX Corporation,Industrials,Railroads,60607741952.0,60.608B
CNI,Canadian National Railway Company,Industrials,Railroads,60410077184.0,60.41B
WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,33079404544.0,33.079B
TRN,"Trinity Industries, Inc.",Industrials,Railroads,2297399040.0,2.297B
GBX,"The Greenbrier Companies, Inc.",Industrials,Railroads,1440107008.0,1.44B
FSTR,L.B. Foster Company,Industrials,Railroads,275858144.0,0.276B
RAIL,"FreightCar America, Inc.",Industrials,Railroads,163348000.0,0.163B
SWVL,Swvl Holdings Corp.,Industrials,Railroads,34545836.0,0.035B
RVSN,Rail Vision Ltd.,Industrials,Railroads,21351416.0,0.021B
