symbol,name,sector,industry,marketCap,marketCap_str
HHH,Howard Hughes Holdings Inc.,Real Estate,Real Estate - Development,4530529280.0,4.531B
VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",Real Estate,Real Estate - Development,2326485248.0,2.326B
CCS,"Century Communities, Inc.",Real Estate,Real Estate - Development,1955305088.0,1.955B
FOR,Forestar Group Inc.,Real Estate,Real Estate - Development,1406554624.0,1.407B
SDHC,Smith Douglas Homes Corp.,Real Estate,Real Estate - Development,1008993344.0,1.009B
FPH,"Five Point Holdings, LLC",Real Estate,Real Estate - Development,827155648.0,0.827B
SKYH,Sky Harbour Group Corporation,Real Estate,Real Estate - Development,800229504.0,0.8B
MRNO,Murano Global Investments Plc,Real Estate,Real Estate - Development,431080800.0,0.431B
AXR,AMREP Corporation,Real Estate,Real Estate - Development,113918744.0,0.114B
JFB,JFB Construction Holdings,Real Estate,Real Estate - Development,58880780.0,0.059B
AEI,Alset Inc.,Real Estate,Real Estate - Development,55302596.0,0.055B
LRE,"Lead Real Estate Co., Ltd",Real Estate,Real Estate - Development,19992204.0,0.02B
XIN,"Xinyuan Real Estate Co., Ltd.",Real Estate,Real Estate - Development,13904195.0,0.014B
SGD,Safe and Green Development Corporation,Real Estate,Real Estate - Development,4322470.0,0.004B
