symbol,name,sector,industry,marketCap,marketCap_str
CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,48239452160.0,48.239B
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,37912436736.0,37.912B
BEKE,KE Holdings Inc.,Real Estate,Real Estate Services,21429491712.0,21.429B
JLL,Jones Lang LaSalle Incorporated,Real Estate,Real Estate Services,14478273536.0,14.478B
BPYPP,Brookfield Property Partners L.P.,Real Estate,Real Estate Services,10057878528.0,10.058B
FSV,FirstService Corporation,Real Estate,Real Estate Services,9166671872.0,9.167B
CIGI,Colliers International Group Inc.,Real Estate,Real Estate Services,8388354560.0,8.388B
COMP,"Compass, Inc.",Real Estate,Real Estate Services,4774854144.0,4.775B
NMRK,"Newmark Group, Inc.",Real Estate,Real Estate Services,4523163136.0,4.523B
CWK,Cushman & Wakefield plc,Real Estate,Real Estate Services,3651181056.0,3.651B
OPEN,Opendoor Technologies Inc.,Real Estate,Real Estate Services,3274995200.0,3.275B
IHS,IHS Holding Limited,Real Estate,Real Estate Services,2432527104.0,2.433B
EXPI,"eXp World Holdings, Inc.",Real Estate,Real Estate Services,1702822528.0,1.703B
MMI,"Marcus & Millichap, Inc.",Real Estate,Real Estate Services,1270912256.0,1.271B
KW,"Kennedy-Wilson Holdings, Inc.",Real Estate,Real Estate Services,1213520000.0,1.214B
IRS,IRSA Inversiones y Representaciones Sociedad Anónima,Real Estate,Real Estate Services,1126587392.0,1.127B
REAX,The Real Brokerage Inc.,Real Estate,Real Estate Services,1126034048.0,1.126B
HOUS,Anywhere Real Estate Inc.,Real Estate,Real Estate Services,684466624.0,0.684B
HBNB,Hotel101 Global Holdings Corp.,Real Estate,Real Estate Services,629868864.0,0.63B
RMAX,"RE/MAX Holdings, Inc.",Real Estate,Real Estate Services,495658752.0,0.496B
FRPH,"FRP Holdings, Inc.",Real Estate,Real Estate Services,491106464.0,0.491B
TCI,"Transcontinental Realty Investors, Inc.",Real Estate,Real Estate Services,407084736.0,0.407B
MLP,"Maui Land & Pineapple Company, Inc.",Real Estate,Real Estate Services,343129856.0,0.343B
SEG,Seaport Entertainment Group Inc.,Real Estate,Real Estate Services,317793216.0,0.318B
RMR,The RMR Group Inc.,Real Estate,Real Estate Services,284760512.0,0.285B
ARL,"American Realty Investors, Inc.",Real Estate,Real Estate Services,247125600.0,0.247B
DOUG,Douglas Elliman Inc.,Real Estate,Real Estate Services,241286016.0,0.241B
SRG,Seritage Growth Properties,Real Estate,Real Estate Services,206711280.0,0.207B
SRG,Seritage Growth Properties,Real Estate,Real Estate Services,206711280.0,0.207B
CHCI,"Comstock Holding Companies, Inc.",Real Estate,Real Estate Services,159833120.0,0.16B
OPAD,Offerpad Solutions Inc.,Real Estate,Real Estate Services,157505536.0,0.158B
LHAI,Linkhome Holdings Inc.,Real Estate,Real Estate Services,145096192.0,0.145B
ASPS,Altisource Portfolio Solutions S.A.,Real Estate,Real Estate Services,125907584.0,0.126B
STHO,Star Holdings,Real Estate,Real Estate Services,115490096.0,0.115B
MAYS,"J.W. Mays, Inc.",Real Estate,Real Estate Services,76599640.0,0.077B
EUDA,EUDA Health Holdings Limited,Real Estate,Real Estate Services,76542184.0,0.077B
FTHM,Fathom Holdings Inc.,Real Estate,Real Estate Services,56012728.0,0.056B
RFL,"Rafael Holdings, Inc.",Real Estate,Real Estate Services,51599500.0,0.052B
AIRE,reAlpha Tech Corp.,Real Estate,Real Estate Services,32542702.0,0.033B
OMH,Ohmyhome Limited,Real Estate,Real Estate Services,28876376.0,0.029B
NYC,American Strategic Investment Co.,Real Estate,Real Estate Services,28821512.0,0.029B
GYRO,"Gyrodyne, LLC",Real Estate,Real Estate Services,23466638.0,0.023B
DUO,Fangdd Network Group Ltd.,Real Estate,Real Estate Services,16658994.0,0.017B
WETH,Wetouch Technology Inc.,Real Estate,Real Estate Services,13601910.0,0.014B
ALBT,Avalon GloboCare Corp.,Real Estate,Real Estate Services,7746922.0,0.008B
LRHC,La Rosa Holdings Corp.,Real Estate,Real Estate Services,7233367.0,0.007B
UK,Ucommune International Ltd,Real Estate,Real Estate Services,2162691.0,0.002B
