symbol,name,sector,industry,marketCap
THO,"THOR Industries, Inc.",Consumer Cyclical,Recreational Vehicles,5793850368.0
BC,Brunswick Corporation,Consumer Cyclical,Recreational Vehicles,4154385664.0
PII,Polaris Inc.,Consumer Cyclical,Recreational Vehicles,3181188096.0
HOG,"Harley-Davidson, Inc.",Consumer Cyclical,Recreational Vehicles,3539623424.0
LCII,LCI Industries,Consumer Cyclical,Recreational Vehicles,2555834112.0
WGO,"Winnebago Industries, Inc.",Consumer Cyclical,Recreational Vehicles,1008537408.0
MPX,Marine Products Corporation,Consumer Cyclical,Recreational Vehicles,305515936.0
BC,Brunswick Corporation,Consumer Cyclical,Recreational Vehicles,4154385664.0
DOOO,BRP Inc.,Consumer Cyclical,Recreational Vehicles,4595266560.0
MBUU,"Malibu Boats, Inc.",Consumer Cyclical,Recreational Vehicles,638934016.0
MCFT,"MasterCraft Boat Holdings, Inc.",Consumer Cyclical,Recreational Vehicles,357762432.0
MAMO,Massimo Group,Consumer Cyclical,Recreational Vehicles,115761976.0
KNDI,"Kandi Technologies Group, Inc.",Consumer Cyclical,Recreational Vehicles,119784688.0
VMAR,Vision Marine Technologies Inc.,Consumer Cyclical,Recreational Vehicles,4428032.0
VEEE,Twin Vee Powercats Co.,Consumer Cyclical,Recreational Vehicles,4364972.0
EZGO,EZGO Technologies Ltd.,Consumer Cyclical,Recreational Vehicles,1108928.0
