symbol,name,sector,industry,marketCap,marketCap_str
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,61532065792.0,61.532B
AER,AerCap Holdings N.V.,Industrials,Rental & Leasing Services,22021285888.0,22.021B
FTAI,FTAI Aviation Ltd.,Industrials,Rental & Leasing Services,15780548608.0,15.781B
UHAL,U-Haul Holding Company,Industrials,Rental & Leasing Services,9895203840.0,9.895B
R,"Ryder System, Inc.",Industrials,Rental & Leasing Services,7649053696.0,7.649B
AL,Air Lease Corporation,Industrials,Rental & Leasing Services,6729370624.0,6.729B
GATX,GATX Corporation,Industrials,Rental & Leasing Services,5998720000.0,5.999B
CAR,"Avis Budget Group, Inc.",Industrials,Rental & Leasing Services,5568667136.0,5.569B
WSC,WillScot Holdings Corporation,Industrials,Rental & Leasing Services,4413498368.0,4.413B
HRI,Herc Holdings Inc.,Industrials,Rental & Leasing Services,4347014656.0,4.347B
MGRC,McGrath RentCorp,Industrials,Rental & Leasing Services,2990051072.0,2.99B
HTZ,"Hertz Global Holdings, Inc.",Industrials,Rental & Leasing Services,1780803712.0,1.781B
PRG,"PROG Holdings, Inc.",Industrials,Rental & Leasing Services,1393523584.0,1.394B
CTOS,"Custom Truck One Source, Inc.",Industrials,Rental & Leasing Services,1391078400.0,1.391B
WLFC,Willis Lease Finance Corporation,Industrials,Rental & Leasing Services,1136862208.0,1.137B
VSTS,Vestis Corporation,Industrials,Rental & Leasing Services,617011200.0,0.617B
ALTG,Alta Equipment Group Inc.,Industrials,Rental & Leasing Services,267279488.0,0.267B
ALTG,Alta Equipment Group Inc.,Industrials,Rental & Leasing Services,267279488.0,0.267B
FPAY,"FlexShopper, Inc.",Industrials,Rental & Leasing Services,16966824.0,0.017B
AIHS,Senmiao Technology Limited,Industrials,Rental & Leasing Services,2615611.0,0.003B
