symbol,name,sector,industry,marketCap,marketCap_str
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,50526052352.0,50.526B
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,34296995840.0,34.297B
PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,26047283200.0,26.047B
NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,22429878272.0,22.43B
TOL,"Toll Brothers, Inc.",Consumer Cyclical,Residential Construction,13397236736.0,13.397B
IBP,"Installed Building Products, Inc.",Consumer Cyclical,Residential Construction,7102234112.0,7.102B
TMHC,Taylor Morrison Home Corporation,Consumer Cyclical,Residential Construction,6659066880.0,6.659B
MTH,Meritage Homes Corporation,Consumer Cyclical,Residential Construction,5528117248.0,5.528B
KBH,KB Home,Consumer Cyclical,Residential Construction,4324590080.0,4.325B
SKY,"Champion Homes, Inc.",Consumer Cyclical,Residential Construction,4264855808.0,4.265B
CVCO,"Cavco Industries, Inc.",Consumer Cyclical,Residential Construction,4200233984.0,4.2B
MHO,"M/I Homes, Inc.",Consumer Cyclical,Residential Construction,3886294272.0,3.886B
TPH,"Tri Pointe Homes, Inc.",Consumer Cyclical,Residential Construction,3091604736.0,3.092B
GRBK,"Green Brick Partners, Inc.",Consumer Cyclical,Residential Construction,3042586368.0,3.043B
GRBK,"Green Brick Partners, Inc.",Consumer Cyclical,Residential Construction,3042586368.0,3.043B
DFH,"Dream Finders Homes, Inc.",Consumer Cyclical,Residential Construction,2581182464.0,2.581B
LGIH,"LGI Homes, Inc.",Consumer Cyclical,Residential Construction,1427434112.0,1.427B
BZH,"Beazer Homes USA, Inc.",Consumer Cyclical,Residential Construction,747898624.0,0.748B
HOV,"Hovnanian Enterprises, Inc.",Consumer Cyclical,Residential Construction,720292416.0,0.72B
LEGH,Legacy Housing Corporation,Consumer Cyclical,Residential Construction,667010816.0,0.667B
UHG,"United Homes Group, Inc.",Consumer Cyclical,Residential Construction,245208096.0,0.245B
SPHL,Springview Holdings Ltd,Consumer Cyclical,Residential Construction,4946150.0,0.005B
