symbol,name,sector,industry,marketCap,marketCap_str
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,39560347648.0,39.56B
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos,13179084800.0,13.179B
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,10803260416.0,10.803B
BYD,Boyd Gaming Corporation,Consumer Cyclical,Resorts & Casinos,6884615680.0,6.885B
RRR,"Red Rock Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,6339014656.0,6.339B
MTN,"Vail Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,6085563392.0,6.086B
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,5567945728.0,5.568B
HGV,Hilton Grand Vacations Inc.,Consumer Cyclical,Resorts & Casinos,4237296896.0,4.237B
MLCO,Melco Resorts & Entertainment Limited,Consumer Cyclical,Resorts & Casinos,3880645376.0,3.881B
PENN,"PENN Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,2953680896.0,2.954B
VAC,Marriott Vacations Worldwide Corporation,Consumer Cyclical,Resorts & Casinos,2704185344.0,2.704B
MCRI,"Monarch Casino & Resort, Inc.",Consumer Cyclical,Resorts & Casinos,1905848320.0,1.906B
MSC,Studio City International Holdings Limited,Consumer Cyclical,Resorts & Casinos,928274176.0,0.928B
GDEN,"Golden Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,650554432.0,0.651B
BALY,Bally's Corporation,Consumer Cyclical,Resorts & Casinos,488772832.0,0.489B
FLL,"Full House Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,132168096.0,0.132B
CPHC,Canterbury Park Holding Corporation,Consumer Cyclical,Resorts & Casinos,83919496.0,0.084B
CNTY,"Century Casinos, Inc.",Consumer Cyclical,Resorts & Casinos,79854264.0,0.08B
