ticker,name,sector,industry,marketCap
ALLE,Allegion plc,Industrials,Security & Protection Services,14576735232.0
MSA,MSA Safety Incorporated,Industrials,Security & Protection Services,6677830144.0
ADT,ADT Inc.,Industrials,Security & Protection Services,7142905856.0
BCO,The Brink's Company,Industrials,Security & Protection Services,4667844096.0
GEO,"The GEO Group, Inc.",Industrials,Security & Protection Services,2935436032.0
BRC,Brady Corporation,Industrials,Security & Protection Services,3694402048.0
CXW,"CoreCivic, Inc.",Industrials,Security & Protection Services,2171176960.0
NL,"NL Industries, Inc.",Industrials,Security & Protection Services,319562048.0
MG,"Mistras Group, Inc.",Industrials,Security & Protection Services,301503296.0
EVLV,"Evolv Technologies Holdings, Inc.",Industrials,Security & Protection Services,1416381824.0
NSSC,"Napco Security Technologies, Inc.",Industrials,Security & Protection Services,1356726016.0
SNT,Senstar Technologies Corporation,Industrials,Security & Protection Services,104992648.0
BAER,"Bridger Aerospace Group Holdings, Inc.",Industrials,Security & Protection Services,112721232.0
CIGL,Concorde International Group Ltd.,Industrials,Security & Protection Services,2314375.0
KSCP,"Knightscope, Inc.",Industrials,Security & Protection Services,61505924.0
GFAI,"Guardforce AI Co., Limited",Industrials,Security & Protection Services,23336086.0
SPCB,SuperCom Ltd.,Industrials,Security & Protection Services,39656596.0
SUGP,SU Group Holdings Limited,Industrials,Security & Protection Services,8722956.0
VRME,"VerifyMe, Inc.",Industrials,Security & Protection Services,10970558.0
IVDA,"Iveda Solutions, Inc.",Industrials,Security & Protection Services,4663267.0
BKYI,"BIO-key International, Inc.",Industrials,Security & Protection Services,5151267.0
