ticker,name,sector,industry,marketCap
ONTO,Onto Innovation Inc.,Technology,Semiconductor Equipment & Materials,5194381824.0
DQ,Daqo New Energy Corp.,Technology,Semiconductor Equipment & Materials,1699887360.0
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,292382113792.0
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,128068157440.0
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,126751842304.0
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,115069992960.0
TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,18808909824.0
ENTG,"Entegris, Inc.",Technology,Semiconductor Equipment & Materials,12678236160.0
NVMI,Nova Ltd.,Technology,Semiconductor Equipment & Materials,7742222336.0
AMKR,"Amkor Technology, Inc.",Technology,Semiconductor Equipment & Materials,5978389504.0
CAMT,Camtek Ltd.,Technology,Semiconductor Equipment & Materials,3780045568.0
IPGP,IPG Photonics Corporation,Technology,Semiconductor Equipment & Materials,3454432256.0
AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,3498315008.0
FORM,"FormFactor, Inc.",Technology,Semiconductor Equipment & Materials,2250963456.0
ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,2514768896.0
ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,1811187712.0
KLIC,"Kulicke and Soffa Industries, Inc.",Technology,Semiconductor Equipment & Materials,1955456256.0
PLAB,"Photronics, Inc.",Technology,Semiconductor Equipment & Materials,1363611776.0
VECO,Veeco Instruments Inc.,Technology,Semiconductor Equipment & Materials,1475167360.0
UCTT,"Ultra Clean Holdings, Inc.",Technology,Semiconductor Equipment & Materials,1089162880.0
COHU,"Cohu, Inc.",Technology,Semiconductor Equipment & Materials,928963840.0
INDI,"indie Semiconductor, Inc.",Technology,Semiconductor Equipment & Materials,899440576.0
ICHR,"Ichor Holdings, Ltd.",Technology,Semiconductor Equipment & Materials,578416704.0
AEHR,"Aehr Test Systems, Inc.",Technology,Semiconductor Equipment & Materials,746381760.0
ATOM,Atomera Incorporated,Technology,Semiconductor Equipment & Materials,103263584.0
AXTI,"AXT, Inc.",Technology,Semiconductor Equipment & Materials,133762216.0
ASYS,"Amtech Systems, Inc.",Technology,Semiconductor Equipment & Materials,90607616.0
SMTK,"SmartKem, Inc.",Technology,Semiconductor Equipment & Materials,3829641.0
