symbol,name,sector,industry,marketCap
AACT,Ares Acquisition Corporation II,Financial Services,Shell Companies,705819136.0
AAM,AA Mission Acquisition Corp.,Financial Services,Shell Companies,461727008.0
COPL,Copley Acquisition Corp,Financial Services,Shell Companies,239182272.0
EQV,EQV Ventures Acquisition Corp.,Financial Services,Shell Companies,463553984.0
HYAC,Haymaker Acquisition Corp. 4,Financial Services,Shell Companies,327349120.0
JACS,Jackson Acquisition Company II,Financial Services,Shell Companies,306256512.0
SBXD,SilverBox Corp IV,Financial Services,Shell Companies,266946592.0
SOUL,Soulpower Acquisition Corporation,Financial Services,Shell Companies,342588800.0
CEP,"Cantor Equity Partners, Inc. Class A Ordinary Shares",Financial Services,Shell Companies,237209008.0
TACO,Berto Acquisition Corp.,Financial Services,Shell Companies,387569216.0
CUB,Lionheart Holdings,Financial Services,Shell Companies,322000352.0
FGMC,FG Merger II Corp.,Financial Services,Shell Companies,102858136.0
AACB,Artius II Acquisition Inc.,Financial Services,Shell Companies,280347744.0
AACBU,Artius II Acquisition Inc.,Financial Services,Shell Companies,259551744.0
AFJK,"Aimei Health Technology Co., Ltd",Financial Services,Shell Companies,69175552.0
AIFE,Pantages Capital Acquisition Corporation.,Financial Services,Shell Companies,112570352.0
ALCY,Alchemy Investments Acquisition Corp 1,Financial Services,Shell Companies,51939060.0
ALDF,Aldel Financial II Inc.,Financial Services,Shell Companies,311782176.0
ALF,Centurion Acquisition Corp.,Financial Services,Shell Companies,378062528.0
ANSC,Agriculture & Natural Solutions Acquisition Corporation,Financial Services,Shell Companies,470924992.0
ASPC,A SPAC III Acquisition Corp.,Financial Services,Shell Companies,82966504.0
ATII,Archimedes Tech SPAC Partners II Co.,Financial Services,Shell Companies,302010336.0
ATIIU,Archimedes Tech SPAC Partners II Co.,Financial Services,Shell Companies,265637168.0
ATMC,AlphaTime Acquisition Corp,Financial Services,Shell Companies,40766036.0
ATMV,AlphaVest Acquisition Corp,Financial Services,Shell Companies,46335420.0
BACQ,Bleichroeder Acquisition Corp. I,Financial Services,Shell Companies,436911840.0
BAYA,Bayview Acquisition Corp,Financial Services,Shell Companies,38544812.0
BEAG,Bold Eagle Acquisition Corp.,Financial Services,Shell Companies,324611072.0
BKHA,Black Hawk Acquisition Corporation,Financial Services,Shell Companies,45689380.0
CAEP,"Cantor Equity Partners III, Inc.",Financial Services,Shell Companies,365182784.0
CAPN,Cayson Acquisition Corp,Financial Services,Shell Companies,81275400.0
CCCM,Columbus Circle Capital Corp I,Financial Services,Shell Companies,351956032.0
CCCX,Churchill Capital Corp X,Financial Services,Shell Companies,526745984.0
CCIR,Cohen Circle Acquisition Corp. I,Financial Services,Shell Companies,327317088.0
CCIX,Churchill Capital Corp IX,Financial Services,Shell Companies,386422752.0
CCIXW,Churchill Capital Corp IX,Financial Services,Shell Companies,22968000.0
CEPO,"Cantor Equity Partners I, Inc.",Financial Services,Shell Companies,214430000.0
CEPT,"Cantor Equity Partners II, Inc.",Financial Services,Shell Companies,325982784.0
CGCT,Cartesian Growth Corporation III,Financial Services,Shell Companies,276276000.0
CHAC,Crane Harbor Acquisition Corp.,Financial Services,Shell Companies,300782048.0
CHPG,ChampionsGate Acquisition Corporation,Financial Services,Shell Companies,100072648.0
COLA,Columbus Acquisition Corp,Financial Services,Shell Companies,80952312.0
CUBWU,Lionheart Holdings,Financial Services,Shell Companies,284000352.0
DAAQ,Digital Asset Acquisition Corp.,Financial Services,Shell Companies,233449984.0
DMAA,Drugs Made In America Acquisition Corp.,Financial Services,Shell Companies,343670944.0
DMAAU,Drugs Made In America Acquisition Corp.,Financial Services,Shell Companies,309216864.0
DRDB,Roman DBDR Acquisition Corp. II,Financial Services,Shell Companies,236324992.0
DRDBU,Roman DBDR Acquisition Corp. II,Financial Services,Shell Companies,280000352.0
DRDBW,Roman DBDR Acquisition Corp. II,Financial Services,Shell Companies,12268200.0
DTSQ,DT Cloud Star Acquisition Corporation,Financial Services,Shell Companies,93014400.0
DYCQ,DT Cloud Acquisition Corporation,Financial Services,Shell Companies,33297330.0
DYNX,Dynamix Corporation,Financial Services,Shell Companies,185256000.0
DYNXU,Dynamix Corporation,Financial Services,Shell Companies,252000000.0
EMCG,Embrace Change Acquisition Corp.,Financial Services,Shell Companies,26645080.0
EURK,Eureka Acquisition Corp,Financial Services,Shell Companies,51394024.0
FERA,Fifth Era Acquisition Corp I,Financial Services,Shell Companies,316731680.0
FGMCU,FG Merger II Corp.,Financial Services,Shell Companies,104914200.0
FORL,Four Leaf Acquisition Corporation,Financial Services,Shell Companies,47836696.0
FSHP,Flag Ship Acquisition Corporation,Financial Services,Shell Companies,93593280.0
GIG,GigCapital7 Corp.,Financial Services,Shell Companies,345666304.0
GPAT,GP-Act III Acquisition Corp.,Financial Services,Shell Companies,380937504.0
GSHR,,Financial Services,Shell Companies,207404576.0
GSRT,GSR III Acquisition Corp.,Financial Services,Shell Companies,302518816.0
GTERA,Globa Terra Acquisition Corporation,Financial Services,Shell Companies,283056832.0
HLXB,Helix Acquisition Corp. II,Financial Services,Shell Companies,232739088.0
HOND,HCM II Acquisition Corp.,Financial Services,Shell Companies,336375008.0
HONDU,HCM II Acquisition Corp.,Financial Services,Shell Companies,330500000.0
HSPO,Horizon Space Acquisition I Corp.,Financial Services,Shell Companies,50983688.0
HSPT,Horizon Space Acquisition II Corp.,Financial Services,Shell Companies,93524000.0
HVII,Hennessy Capital Investment Corp. VII,Financial Services,Shell Companies,264656960.0
HVIIU,Hennessy Capital Investment Corp. VII,Financial Services,Shell Companies,250886736.0
IBAC,IB Acquisition Corp.,Financial Services,Shell Companies,165995520.0
IPCX,Inflection Point Acquisition Corp. III,Financial Services,Shell Companies,348869792.0
IPOD,Dune Acquisition Corporation II,Financial Services,Shell Companies,145841792.0
IROH,Iron Horse Acquisitions Corp.,Financial Services,Shell Companies,21158402.0
ISRL,Israel Acquisitions Corp,Financial Services,Shell Companies,79972936.0
KFII,K&F Growth Acquisition Corp. II,Financial Services,Shell Companies,399627104.0
KFIIU,K&F Growth Acquisition Corp. II,Financial Services,Shell Companies,266813568.0
KVAC,Keen Vision Acquisition Corporation,Financial Services,Shell Companies,107350440.0
LCCC,Lakeshore Acquisition III Corp.,Financial Services,Shell Companies,89495248.0
LOKV,Live Oak Acquisition Corp. V,Financial Services,Shell Companies,292531264.0
LPAA,Launch One Acquisition Corp.,Financial Services,Shell Companies,301300000.0
LPBB,Launch Two Acquisition Corp.,Financial Services,Shell Companies,299575008.0
MACI,Melar Acquisition Corp. I,Financial Services,Shell Companies,227026800.0
MACIW,Melar Acquisition Corp. I,Financial Services,Shell Companies,3105000.0
MAYA,Maywood Acquisition Corp.,Financial Services,Shell Companies,121237696.0
MBAV,M3-Brigade Acquisition V Corp.,Financial Services,Shell Companies,379500000.0
MBAVU,M3-Brigade Acquisition V Corp.,Financial Services,Shell Companies,280000000.0
MBAVW,M3-Brigade Acquisition V Corp.,Financial Services,Shell Companies,37375000.0
NETD,Nabors Energy Transition Corp. II,Financial Services,Shell Companies,241253872.0
NOEM,CO2 Energy Transition Corp.,Financial Services,Shell Companies,97295360.0
NPAC,New Providence Acquisition Corp. III,Financial Services,Shell Companies,312423008.0
NTWO,Newbury Street II Acquisition Corp,Financial Services,Shell Companies,186643408.0
OACC,Oaktree Acquisition Corp. III Life Sciences,Financial Services,Shell Companies,257136096.0
OAKU,Oak Woods Acquisition Corporation,Financial Services,Shell Companies,63224992.0
OYSE,Oyster Enterprises II Acquisition Corp,Financial Services,Shell Companies,340498560.0
PCSC,Perceptive Capital Solutions Corp,Financial Services,Shell Companies,117085296.0
PELI,Pelican Acquisition Corporation,Financial Services,Shell Companies,120347960.0
PLMK,Plum Acquisition Corp. IV,Financial Services,Shell Companies,249217008.0
PMTR,Perimeter Acquisition Corp. I,Financial Services,Shell Companies,253581232.0
POLE,Andretti Acquisition Corp. II,Financial Services,Shell Companies,307199104.0
QETA,Quetta Acquisition Corporation,Financial Services,Shell Companies,41937320.0
QSEA,,Financial Services,Shell Companies,115566312.0
RAAQ,Real Asset Acquisition Corp.,Financial Services,Shell Companies,232760000.0
RANG,Range Capital Acquisition Corp.,Financial Services,Shell Companies,164384368.0
RDAC,Rising Dragon Acquisition Corp.,Financial Services,Shell Companies,77695080.0
RDAG,Republic Digital Acquisition Company,Financial Services,Shell Companies,383250016.0
RDAGU,Republic Digital Acquisition Company,Financial Services,Shell Companies,41580000.0
RFAI,RF Acquisition Corp II,Financial Services,Shell Companies,159282624.0
RIBB,Ribbon Acquisition Corp.,Financial Services,Shell Companies,66058700.0
RIBBU,Ribbon Acquisition Corp.,Financial Services,Shell Companies,67611496.0
RTAC,Renatus Tactical Acquisition Corp I,Financial Services,Shell Companies,409210272.0
SDHI,Siddhi Acquisition Corp.,Financial Services,Shell Companies,353257344.0
SIMA,SIM Acquisition Corp. I,Financial Services,Shell Companies,320160320.0
SPKL,Spark I Acquisition Corporation,Financial Services,Shell Companies,94813752.0
SVCC,Stellar V Capital Corp.,Financial Services,Shell Companies,221985040.0
SVII,Spring Valley Acquisition Corp. II,Financial Services,Shell Companies,118166000.0
SZZL,Sizzle Acquisition Corp. II,Financial Services,Shell Companies,315012000.0
TACH,Titan Acquisition Corp,Financial Services,Shell Companies,349484992.0
TAVI,Tavia Acquisition Corp.,Financial Services,Shell Companies,163904640.0
TBMC,Trailblazer Merger Corporation I,Financial Services,Shell Companies,52324768.0
TDAC,Translational Development Acquisition Corp.,Financial Services,Shell Companies,226523552.0
TDACW,Translational Development Acquisition Corp.,Financial Services,Shell Companies,4164000.0
TVA,Texas Ventures Acquisition III Corp,Financial Services,Shell Companies,303900000.0
TVAI,Thayer Ventures Acquisition Corporation II,Financial Services,Shell Companies,273045824.0
UYSC,UY Scuti Acquisition Corp.,Financial Services,Shell Companies,77617376.0
VACH,Voyager Acquisition Corp.,Financial Services,Shell Companies,329532512.0
VCIC,Vine Hill Capital Investment Corp.,Financial Services,Shell Companies,305652992.0
WLAC,Willow Lane Acquisition Corp.,Financial Services,Shell Companies,129789000.0
WTG,Wintergreen Acquisition Corp.,Financial Services,Shell Companies,73474016.0
YORK,Yorkville Acquisition Corp.,Financial Services,Shell Companies,266231744.0
