symbol,name,sector,industry,marketCap,marketCap_str
RELX,RELX PLC,Industrials,Specialty Business Services,85283356672.0,85.283B
CTAS,Cintas Corporation,Industrials,Specialty Business Services,84637466624.0,84.637B
TRI,Thomson Reuters Corporation,Industrials,Specialty Business Services,80046694400.0,80.047B
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,47196147712.0,47.196B
GPN,Global Payments Inc.,Industrials,Specialty Business Services,21548353536.0,21.548B
RBA,"RB Global, Inc.",Industrials,Specialty Business Services,21258510336.0,21.259B
ULS,UL Solutions Inc.,Industrials,Specialty Business Services,12689779712.0,12.69B
RTO,Rentokil Initial plc,Industrials,Specialty Business Services,12417292288.0,12.417B
ARMK,Aramark,Industrials,Specialty Business Services,10280102912.0,10.28B
DLB,"Dolby Laboratories, Inc.",Industrials,Specialty Business Services,6870112256.0,6.87B
AMTM,"Amentum Holdings, Inc.",Industrials,Specialty Business Services,6071058432.0,6.071B
MMS,"Maximus, Inc.",Industrials,Specialty Business Services,4954256896.0,4.954B
CBZ,"CBIZ, Inc.",Industrials,Specialty Business Services,3483559424.0,3.484B
AZZ,AZZ Inc.,Industrials,Specialty Business Services,3388280320.0,3.388B
UNF,UniFirst Corporation,Industrials,Specialty Business Services,3297298688.0,3.297B
ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,3061225728.0,3.061B
FA,First Advantage Corporation,Industrials,Specialty Business Services,2846492928.0,2.846B
TIC,Acuren Corporation,Industrials,Specialty Business Services,2260649472.0,2.261B
LZ,"LegalZoom.com, Inc.",Industrials,Specialty Business Services,1997158784.0,1.997B
CMPR,Cimpress plc,Industrials,Specialty Business Services,1545124608.0,1.545B
BV,"BrightView Holdings, Inc.",Industrials,Specialty Business Services,1366560000.0,1.367B
TH,Target Hospitality Corp.,Industrials,Specialty Business Services,904993664.0,0.905B
TRNS,"Transcat, Inc.",Industrials,Specialty Business Services,782336768.0,0.782B
BKSY,BlackSky Technology Inc.,Industrials,Specialty Business Services,622756608.0,0.623B
CASS,"Cass Information Systems, Inc.",Industrials,Specialty Business Services,569873920.0,0.57B
RHLD,"Resolute Holdings Management, Inc.",Industrials,Specialty Business Services,563483328.0,0.563B
ANPA,Rich Sparkle Holdings Limited,Industrials,Specialty Business Services,509000000.0,0.509B
KODK,Eastman Kodak Company,Industrials,Specialty Business Services,476596736.0,0.477B
QUAD,"Quad/Graphics, Inc.",Industrials,Specialty Business Services,336150848.0,0.336B
SPIR,"Spire Global, Inc.",Industrials,Specialty Business Services,280933376.0,0.281B
TISI,"Team, Inc.",Industrials,Specialty Business Services,86603312.0,0.087B
DLHC,DLH Holdings Corp.,Industrials,Specialty Business Services,80276672.0,0.08B
SST,"System1, Inc.",Industrials,Specialty Business Services,70595864.0,0.071B
PMEC,Primech Holdings Ltd.,Industrials,Specialty Business Services,67231504.0,0.067B
WFCF,"Where Food Comes From, Inc.",Industrials,Specialty Business Services,62018160.0,0.062B
YSXT,"YSX Tech. Co., Ltd",Industrials,Specialty Business Services,55078124.0,0.055B
SGRP,"SPAR Group, Inc.",Industrials,Specialty Business Services,28184914.0,0.028B
NISN,"Nisun International Enterprise Development Group Co., Ltd",Industrials,Specialty Business Services,18425702.0,0.018B
CRE,Cre8 Enterprise Limited,Industrials,Specialty Business Services,17184124.0,0.017B
SFHG,Samfine Creation Holdings Group Limited,Industrials,Specialty Business Services,14565249.0,0.015B
PC,Premium Catering (Holdings) Limited,Industrials,Specialty Business Services,12160015.0,0.012B
PMAX,Powell Max Limited,Industrials,Specialty Business Services,6163830.0,0.006B
LICN,Lichen International Limited,Industrials,Specialty Business Services,3435831.0,0.003B
SMX,SMX (Security Matters) Public Limited Company,Industrials,Specialty Business Services,2653820.0,0.003B
