symbol,name,sector,industry,marketCap
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,91213488128.0
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,78575468544.0
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,65455353856.0
DD,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,32207710208.0
PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,25104611328.0
LYB,LyondellBasell Industries N.V.,Basic Materials,Specialty Chemicals,18124863488.0
IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,17301936128.0
RPM,RPM International Inc.,Basic Materials,Specialty Chemicals,16076270592.0
SQM,Sociedad Química y Minera de Chile S.A.,Basic Materials,Specialty Chemicals,12724458496.0
WLK,Westlake Corporation,Basic Materials,Specialty Chemicals,11262563328.0
EMN,Eastman Chemical Company,Basic Materials,Specialty Chemicals,8077282304.0
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,9993639936.0
NEU,NewMarket Corporation,Basic Materials,Specialty Chemicals,7770629120.0
AXTA,Axalta Coating Systems Ltd.,Basic Materials,Specialty Chemicals,6770103296.0
ESI,Element Solutions Inc,Basic Materials,Specialty Chemicals,6214388736.0
SXT,Sensient Technologies Corporation,Basic Materials,Specialty Chemicals,4818203648.0
CBT,Cabot Corporation,Basic Materials,Specialty Chemicals,4339285504.0
SSL,Sasol Limited,Basic Materials,Specialty Chemicals,4267559168.0
FUL,H.B. Fuller Company,Basic Materials,Specialty Chemicals,3294496000.0
AVNT,Avient Corporation,Basic Materials,Specialty Chemicals,3423618560.0
PRM,"Perimeter Solutions, Inc.",Basic Materials,Specialty Chemicals,3279060224.0
ASH,Ashland Inc.,Basic Materials,Specialty Chemicals,2566392064.0
KWR,Quaker Chemical Corporation,Basic Materials,Specialty Chemicals,2523434752.0
CC,The Chemours Company,Basic Materials,Specialty Chemicals,2305349120.0
MTX,Minerals Technologies Inc.,Basic Materials,Specialty Chemicals,2053565696.0
NGVT,Ingevity Corporation,Basic Materials,Specialty Chemicals,2128902656.0
SCL,Stepan Company,Basic Materials,Specialty Chemicals,1131498496.0
ECVT,Ecovyst Inc.,Basic Materials,Specialty Chemicals,1040059648.0
ODC,Oil-Dri Corporation of America,Basic Materials,Specialty Chemicals,869216320.0
KRO,"Kronos Worldwide, Inc.",Basic Materials,Specialty Chemicals,734038144.0
KOP,Koppers Holdings Inc.,Basic Materials,Specialty Chemicals,571355200.0
OEC,Orion S.A.,Basic Materials,Specialty Chemicals,592379328.0
MATV,"Mativ Holdings, Inc.",Basic Materials,Specialty Chemicals,687233280.0
FF,FutureFuel Corp.,Basic Materials,Specialty Chemicals,169956416.0
TSE,Trinseo PLC,Basic Materials,Specialty Chemicals,86286240.0
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,9993639936.0
LIN,Linde plc,Basic Materials,Specialty Chemicals,224274972672.0
BCPC,Balchem Corporation,Basic Materials,Specialty Chemicals,5260663296.0
HWKN,"Hawkins, Inc.",Basic Materials,Specialty Chemicals,3493365248.0
WDFC,WD-40 Company,Basic Materials,Specialty Chemicals,2923863552.0
IOSP,Innospec Inc.,Basic Materials,Specialty Chemicals,2175139840.0
CLMT,"Calumet, Inc.",Basic Materials,Specialty Chemicals,1414060800.0
HDSN,"Hudson Technologies, Inc.",Basic Materials,Specialty Chemicals,443670944.0
GEVO,"Gevo, Inc.",Basic Materials,Specialty Chemicals,418381504.0
MNTK,"Montauk Renewables, Inc.",Basic Materials,Specialty Chemicals,305852544.0
LWLG,"Lightwave Logic, Inc.",Basic Materials,Specialty Chemicals,434918400.0
AMTX,"Aemetis, Inc.",Basic Materials,Specialty Chemicals,160632144.0
ALTO,"Alto Ingredients, Inc.",Basic Materials,Specialty Chemicals,87459400.0
FEAM,"5E Advanced Materials, Inc.",Basic Materials,Specialty Chemicals,78095728.0
NTIC,Northern Technologies International Corporation,Basic Materials,Specialty Chemicals,70110264.0
LOOP,"Loop Industries, Inc.",Basic Materials,Specialty Chemicals,71100416.0
SNES,"SenesTech, Inc.",Basic Materials,Specialty Chemicals,25801720.0
BGLC,BioNexus Gene Lab Corp.,Basic Materials,Specialty Chemicals,10204688.0
CNEY,CN Energy Group. Inc.,Basic Materials,Specialty Chemicals,13156920.0
BSLK,"Bolt Projects Holdings, Inc.",Basic Materials,Specialty Chemicals,13192271.0
BON,Bon Natural Life Limited,Basic Materials,Specialty Chemicals,8176857.0
