symbol,name,sector,industry,marketCap,marketCap_str
GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,166865141760.0,166.865B
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,135920205824.0,135.92B
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,96195977216.0,96.196B
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,77145473024.0,77.145B
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,74289602560.0,74.29B
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,54899453952.0,54.899B
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,42680299520.0,42.68B
ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,38613209088.0,38.613B
XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery,34457120768.0,34.457B
OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,33901989888.0,33.902B
IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,31569690624.0,31.57B
SYM,Symbotic Inc.,Industrials,Specialty Industrial Machinery,28007081984.0,28.007B
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,24527788032.0,24.528B
PNR,Pentair plc,Industrials,Specialty Industrial Machinery,17627500544.0,17.628B
GGG,Graco Inc.,Industrials,Specialty Industrial Machinery,14148610048.0,14.149B
ITT,ITT Inc.,Industrials,Specialty Industrial Machinery,13279500288.0,13.28B
NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery,12646974464.0,12.647B
IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery,12384759808.0,12.385B
GNRC,Generac Holdings Inc.,Industrials,Specialty Industrial Machinery,10869729280.0,10.87B
CR,Crane Company,Industrials,Specialty Industrial Machinery,10663421952.0,10.663B
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,9989867520.0,9.99B
RRX,Regal Rexnord Corporation,Industrials,Specialty Industrial Machinery,9911659520.0,9.912B
DCI,"Donaldson Company, Inc.",Industrials,Specialty Industrial Machinery,9283147776.0,9.283B
WTS,"Watts Water Technologies, Inc.",Industrials,Specialty Industrial Machinery,9237854208.0,9.238B
GTLS,"Chart Industries, Inc.",Industrials,Specialty Industrial Machinery,8960315392.0,8.96B
GTLS,"Chart Industries, Inc.",Industrials,Specialty Industrial Machinery,8960315392.0,8.96B
JBTM,JBT Marel Corporation,Industrials,Specialty Industrial Machinery,7446838272.0,7.447B
FLS,Flowserve Corporation,Industrials,Specialty Industrial Machinery,7017762304.0,7.018B
MIDD,The Middleby Corporation,Industrials,Specialty Industrial Machinery,6935886848.0,6.936B
GTES,Gates Industrial Corporation plc,Industrials,Specialty Industrial Machinery,6583846912.0,6.584B
MIR,"Mirion Technologies, Inc.",Industrials,Specialty Industrial Machinery,4725536768.0,4.726B
CSW,"CSW Industrials, Inc.",Industrials,Specialty Industrial Machinery,4596155904.0,4.596B
NPO,Enpro Inc.,Industrials,Specialty Industrial Machinery,4567545856.0,4.568B
FELE,"Franklin Electric Co., Inc.",Industrials,Specialty Industrial Machinery,4353263104.0,4.353B
MWA,"Mueller Water Products, Inc.",Industrials,Specialty Industrial Machinery,4119909888.0,4.12B
KAI,Kadant Inc.,Industrials,Specialty Industrial Machinery,3807430144.0,3.807B
CXT,"Crane NXT, Co.",Industrials,Specialty Industrial Machinery,3429588992.0,3.43B
ATS,ATS Corporation,Industrials,Specialty Industrial Machinery,2677635584.0,2.678B
XMTR,"Xometry, Inc.",Industrials,Specialty Industrial Machinery,2513400832.0,2.513B
SXI,Standex International Corporation,Industrials,Specialty Industrial Machinery,2462778112.0,2.463B
EPAC,Enerpac Tool Group Corp.,Industrials,Specialty Industrial Machinery,2283705344.0,2.284B
AMSC,American Superconductor Corporation,Industrials,Specialty Industrial Machinery,2253529088.0,2.254B
PSIX,"Power Solutions International, Inc.",Industrials,Specialty Industrial Machinery,1908940160.0,1.909B
HLIO,"Helios Technologies, Inc.",Industrials,Specialty Industrial Machinery,1798262144.0,1.798B
HI,"Hillenbrand, Inc.",Industrials,Specialty Industrial Machinery,1789537920.0,1.79B
TNC,Tennant Company,Industrials,Specialty Industrial Machinery,1515204992.0,1.515B
NNE,NANO Nuclear Energy Inc.,Industrials,Specialty Industrial Machinery,1353036032.0,1.353B
GRC,The Gorman-Rupp Company,Industrials,Specialty Industrial Machinery,1125398528.0,1.125B
THR,"Thermon Group Holdings, Inc.",Industrials,Specialty Industrial Machinery,876883840.0,0.877B
SERV,Serve Robotics Inc.,Industrials,Specialty Industrial Machinery,683513600.0,0.684B
KRNT,Kornit Digital Ltd.,Industrials,Specialty Industrial Machinery,669232768.0,0.669B
BLDP,Ballard Power Systems Inc.,Industrials,Specialty Industrial Machinery,607167552.0,0.607B
GHM,Graham Corporation,Industrials,Specialty Industrial Machinery,538367872.0,0.538B
RR,Richtech Robotics Inc.,Industrials,Specialty Industrial Machinery,456427232.0,0.456B
OFLX,"Omega Flex, Inc.",Industrials,Specialty Industrial Machinery,356328768.0,0.356B
PKOH,Park-Ohio Holdings Corp.,Industrials,Specialty Industrial Machinery,290783040.0,0.291B
ZJK,"ZJK Industrial Co., Ltd.",Industrials,Specialty Industrial Machinery,236317616.0,0.236B
BW,"Babcock & Wilcox Enterprises, Inc.",Industrials,Specialty Industrial Machinery,225448544.0,0.225B
BW,"Babcock & Wilcox Enterprises, Inc.",Industrials,Specialty Industrial Machinery,225448544.0,0.225B
NPWR,NET Power Inc.,Industrials,Specialty Industrial Machinery,198601648.0,0.199B
TWIN,"Twin Disc, Incorporated",Industrials,Specialty Industrial Machinery,178792832.0,0.179B
TAYD,"Taylor Devices, Inc.",Industrials,Specialty Industrial Machinery,154212304.0,0.154B
HUHU,HUHUTECH International Group Inc.,Industrials,Specialty Industrial Machinery,130639880.0,0.131B
SHMD,SCHMID Group N.V.,Industrials,Specialty Industrial Machinery,115140248.0,0.115B
HURC,"Hurco Companies, Inc.",Industrials,Specialty Industrial Machinery,108534592.0,0.109B
XCH,XCHG Limited,Industrials,Specialty Industrial Machinery,76692432.0,0.077B
LASE,Laser Photonics Corporation,Industrials,Specialty Industrial Machinery,57390324.0,0.057B
BWEN,"Broadwind, Inc.",Industrials,Specialty Industrial Machinery,48387148.0,0.048B
LBGJ,Li Bang International Corporation Inc.,Industrials,Specialty Industrial Machinery,24184920.0,0.024B
WFF,WF Holding Limited,Industrials,Specialty Industrial Machinery,22421620.0,0.022B
CVV,CVD Equipment Corporation,Industrials,Specialty Industrial Machinery,19406788.0,0.019B
INLF,INLIF Limited,Industrials,Specialty Industrial Machinery,18285000.0,0.018B
CETY,"Clean Energy Technologies, Inc.",Industrials,Specialty Industrial Machinery,16679848.0,0.017B
SPPL,Simpple Ltd.,Industrials,Specialty Industrial Machinery,11097242.0,0.011B
TPIC,"TPI Composites, Inc.",Industrials,Specialty Industrial Machinery,6193621.0,0.006B
JCSE,JE Cleantech Holdings Limited,Industrials,Specialty Industrial Machinery,5514857.0,0.006B
