symbol,name,sector,industry,marketCap,marketCap_str
TSCO,Tractor Supply Company,Consumer Cyclical,Specialty Retail,32729835520.0,32.73B
WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,Specialty Retail,22919659520.0,22.92B
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,22093225984.0,22.093B
CASY,"Casey's General Stores, Inc.",Consumer Cyclical,Specialty Retail,18386747392.0,18.387B
DKS,"DICK'S Sporting Goods, Inc.",Consumer Cyclical,Specialty Retail,17044579328.0,17.045B
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,15563593728.0,15.564B
GME,GameStop Corp.,Consumer Cyclical,Specialty Retail,10024799232.0,10.025B
FIVE,"Five Below, Inc.",Consumer Cyclical,Specialty Retail,8001612288.0,8.002B
MNSO,MINISO Group Holding Limited,Consumer Cyclical,Specialty Retail,7600049152.0,7.6B
MUSA,Murphy USA Inc.,Consumer Cyclical,Specialty Retail,7263588352.0,7.264B
BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,Specialty Retail,6022751232.0,6.023B
RH,RH,Consumer Cyclical,Specialty Retail,4227340800.0,4.227B
ASO,"Academy Sports and Outdoors, Inc.",Consumer Cyclical,Specialty Retail,3559773696.0,3.56B
SVV,"Savers Value Village, Inc.",Consumer Cyclical,Specialty Retail,1880672000.0,1.881B
EYE,"National Vision Holdings, Inc.",Consumer Cyclical,Specialty Retail,1816765440.0,1.817B
ARHS,"Arhaus, Inc.",Consumer Cyclical,Specialty Retail,1653636736.0,1.654B
WINA,Winmark Corporation,Consumer Cyclical,Specialty Retail,1645917696.0,1.646B
SBH,"Sally Beauty Holdings, Inc.",Consumer Cyclical,Specialty Retail,1371374848.0,1.371B
EVGO,"EVgo, Inc.",Consumer Cyclical,Specialty Retail,1189990144.0,1.19B
WOOF,"Petco Health and Wellness Company, Inc.",Consumer Cyclical,Specialty Retail,1118229376.0,1.118B
OLPX,"Olaplex Holdings, Inc.",Consumer Cyclical,Specialty Retail,953925824.0,0.954B
BBW,"Build-A-Bear Workshop, Inc.",Consumer Cyclical,Specialty Retail,803214976.0,0.803B
ODP,The ODP Corporation,Consumer Cyclical,Specialty Retail,609501824.0,0.61B
HZO,"MarineMax, Inc.",Consumer Cyclical,Specialty Retail,565565888.0,0.566B
ARKO,Arko Corp.,Consumer Cyclical,Specialty Retail,563710016.0,0.564B
BWMX,"Betterware de México, S.A.P.I. de C.V.",Consumer Cyclical,Specialty Retail,498921600.0,0.499B
FLWS,"1-800-FLOWERS.COM, Inc.",Consumer Cyclical,Specialty Retail,355955584.0,0.356B
HTLM,HomesToLife Ltd.,Consumer Cyclical,Specialty Retail,355198400.0,0.355B
BNED,"Barnes & Noble Education, Inc.",Consumer Cyclical,Specialty Retail,293884288.0,0.294B
ONEW,OneWater Marine Inc.,Consumer Cyclical,Specialty Retail,275513824.0,0.276B
CHPT,"ChargePoint Holdings, Inc.",Consumer Cyclical,Specialty Retail,263221008.0,0.263B
BARK,"BARK, Inc.",Consumer Cyclical,Specialty Retail,153285440.0,0.153B
SPWH,"Sportsman's Warehouse Holdings, Inc.",Consumer Cyclical,Specialty Retail,102692776.0,0.103B
GRWG,GrowGeneration Corp.,Consumer Cyclical,Specialty Retail,101611896.0,0.102B
RECT,Rectitude Holdings Ltd,Consumer Cyclical,Specialty Retail,65395004.0,0.065B
LESL,"Leslie's, Inc.",Consumer Cyclical,Specialty Retail,61677540.0,0.062B
BGFV,Big 5 Sporting Goods Corporation,Consumer Cyclical,Specialty Retail,32544838.0,0.033B
ZOOZ,ZOOZ Power Ltd.,Consumer Cyclical,Specialty Retail,24899346.0,0.025B
TLF,"Tandy Leather Factory, Inc.",Consumer Cyclical,Specialty Retail,24847900.0,0.025B
JBDI,JBDI Holdings Limited,Consumer Cyclical,Specialty Retail,20183250.0,0.02B
TKLF,"Tokyo Lifestyle Co., Ltd.",Consumer Cyclical,Specialty Retail,15153352.0,0.015B
CGTL,Creative Global Technology Holdings Limited,Consumer Cyclical,Specialty Retail,12242956.0,0.012B
FTEL,Fitell Corporation,Consumer Cyclical,Specialty Retail,9675782.0,0.01B
NVVE,Nuvve Holding Corp.,Consumer Cyclical,Specialty Retail,7264334.0,0.007B
NAAS,NaaS Technology Inc.,Consumer Cyclical,Specialty Retail,7263529.0,0.007B
PTLE,PTL Limited,Consumer Cyclical,Specialty Retail,6350382.0,0.006B
