ticker,name,sector,industry,marketCap
RHI,Robert Half Inc.,Industrials,Staffing & Employment Services,3796899328.0
KFY,Korn Ferry,Industrials,Staffing & Employment Services,3879568128.0
TNET,"TriNet Group, Inc.",Industrials,Staffing & Employment Services,3518880512.0
NSP,"Insperity, Inc.",Industrials,Staffing & Employment Services,2080341760.0
MAN,ManpowerGroup Inc.,Industrials,Staffing & Employment Services,1962742656.0
KFRC,Kforce Inc.,Industrials,Staffing & Employment Services,606327360.0
TBI,"TrueBlue, Inc.",Industrials,Staffing & Employment Services,178508368.0
BGSF,"BGSF, Inc.",Industrials,Staffing & Employment Services,69072976.0
BBSI,"Barrett Business Services, Inc.",Industrials,Staffing & Employment Services,1253652480.0
HSII,"Heidrick & Struggles International, Inc.",Industrials,Staffing & Employment Services,1053611456.0
KELYB,"Kelly Services, Inc.",Industrials,Staffing & Employment Services,502851744.0
KELYA,"Kelly Services, Inc.",Industrials,Staffing & Employment Services,502852608.0
HQI,"HireQuest, Inc.",Industrials,Staffing & Employment Services,137616000.0
ATLN,Atlantic International Corp.,Industrials,Staffing & Employment Services,231166976.0
NIXX,"Nixxy, Inc.",Industrials,Staffing & Employment Services,35416612.0
HSON,"Hudson Global, Inc.",Industrials,Staffing & Employment Services,32931518.0
GLXG,Galaxy Payroll Group Limited,Industrials,Staffing & Employment Services,9060288.0
IPDN,"Professional Diversity Network, Inc.",Industrials,Staffing & Employment Services,16722859.0
