symbol,name,sector,industry,marketCap,marketCap_str
NUE,Nucor Corporation,Basic Materials,Steel,34138740736.0,34.139B
MT,ArcelorMittal S.A.,Basic Materials,Steel,25369946112.0,25.37B
STLD,"Steel Dynamics, Inc.",Basic Materials,Steel,19272077312.0,19.272B
PKX,POSCO Holdings Inc.,Basic Materials,Steel,15605098496.0,15.605B
RS,"Reliance, Inc.",Basic Materials,Steel,15549794304.0,15.55B
TX,Ternium S.A.,Basic Materials,Steel,6509573120.0,6.51B
CMC,Commercial Metals Company,Basic Materials,Steel,6455060480.0,6.455B
GGB,Gerdau S.A.,Basic Materials,Steel,5940087808.0,5.94B
CLF,Cleveland-Cliffs Inc.,Basic Materials,Steel,5317971456.0,5.318B
SID,Companhia Siderúrgica Nacional,Basic Materials,Steel,1919418880.0,1.919B
WS,"Worthington Steel, Inc.",Basic Materials,Steel,1693997568.0,1.694B
MTUS,Metallus Inc.,Basic Materials,Steel,687209408.0,0.687B
NWPX,"NWPX Infrastructure, Inc.",Basic Materials,Steel,511269472.0,0.511B
ASTL,Algoma Steel Group Inc.,Basic Materials,Steel,511028576.0,0.511B
MSB,Mesabi Trust,Basic Materials,Steel,405276800.0,0.405B
ZEUS,"Olympic Steel, Inc.",Basic Materials,Steel,377471072.0,0.377B
FRD,"Friedman Industries, Incorporated",Basic Materials,Steel,134764704.0,0.135B
ACNT,Ascent Industries Co.,Basic Materials,Steel,114476960.0,0.114B
KBSX,FST Corp.,Basic Materials,Steel,75175544.0,0.075B
HLP,Hongli Group Inc.,Basic Materials,Steel,50680116.0,0.051B
INHD,Inno Holdings Inc.,Basic Materials,Steel,40214612.0,0.04B
HUDI,"Huadi International Group Co., Ltd.",Basic Materials,Steel,17991792.0,0.018B
ZKIN,"ZK International Group Co., Ltd.",Basic Materials,Steel,10172982.0,0.01B
