symbol,name,sector,industry,marketCap,marketCap_str
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,260152885248.0,260.153B
BTI,British American Tobacco p.l.c.,Consumer Defensive,Tobacco,124198838272.0,124.199B
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,112905412608.0,112.905B
RLX,RLX Technology Inc.,Consumer Defensive,Tobacco,3094837504.0,3.095B
TPB,"Turning Point Brands, Inc.",Consumer Defensive,Tobacco,1793467648.0,1.793B
UVV,Universal Corporation,Consumer Defensive,Tobacco,1392382848.0,1.392B
ISPR,Ispire Technology Inc.,Consumer Defensive,Tobacco,181722688.0,0.182B
KAVL,"Kaival Brands Innovations Group, Inc.",Consumer Defensive,Tobacco,11542300.0,0.012B
XXII,"22nd Century Group, Inc.",Consumer Defensive,Tobacco,6149272.0,0.006B
GNLN,"Greenlane Holdings, Inc.",Consumer Defensive,Tobacco,4714270.0,0.005B
