symbol,name,sector,industry,marketCap,marketCap_str
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,181464645632.0,181.465B
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,98660720640.0,98.661B
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,79915171840.0,79.915B
TCOM,Trip.com Group Limited,Consumer Cyclical,Travel Services,48290467840.0,48.29B
CCL,Carnival Corporation & plc,Consumer Cyclical,Travel Services,43239010304.0,43.239B
CUK,Carnival Corporation & plc,Consumer Cyclical,Travel Services,38316294144.0,38.316B
VIK,Viking Holdings Ltd,Consumer Cyclical,Travel Services,28210251776.0,28.21B
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,26574196736.0,26.574B
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,Travel Services,11226115072.0,11.226B
MMYT,MakeMyTrip Limited,Consumer Cyclical,Travel Services,9395806208.0,9.396B
TNL,Travel + Leisure Co.,Consumer Cyclical,Travel Services,4109117696.0,4.109B
GBTG,"Global Business Travel Group, Inc.",Consumer Cyclical,Travel Services,3994993408.0,3.995B
TRIP,"Tripadvisor, Inc.",Consumer Cyclical,Travel Services,2023054336.0,2.023B
PRSU,"Pursuit Attractions and Hospitality, Inc.",Consumer Cyclical,Travel Services,1054646272.0,1.055B
LIND,"Lindblad Expeditions Holdings, Inc.",Consumer Cyclical,Travel Services,798826560.0,0.799B
TOUR,Tuniu Corporation,Consumer Cyclical,Travel Services,100942624.0,0.101B
YTRA,"Yatra Online, Inc.",Consumer Cyclical,Travel Services,86273184.0,0.086B
ISPO,Inspirato Incorporated,Consumer Cyclical,Travel Services,37397232.0,0.037B
NTRP,"NextTrip, Inc.",Consumer Cyclical,Travel Services,30768190.0,0.031B
