symbol,name,sector,industry,marketCap
SRE,Sempra,Utilities,Utilities - Diversified,53868085248.0
BIP,Brookfield Infrastructure Partners L.P.,Utilities,Utilities - Diversified,14552324096.0
AES,The AES Corporation,Utilities,Utilities - Diversified,9641156608.0
CIG,Companhia Energética de Minas Gerais - CEMIG,Utilities,Utilities - Diversified,6544679424.0
AQN,Algonquin Power & Utilities Corp.,Utilities,Utilities - Diversified,4454545408.0
ALE,"ALLETE, Inc.",Utilities,Utilities - Diversified,3722970880.0
AVA,Avista Corporation,Utilities,Utilities - Diversified,2963788800.0
UTL,Unitil Corporation,Utilities,Utilities - Diversified,840330368.0
BIP,Brookfield Infrastructure Partners L.P.,Utilities,Utilities - Diversified,14552324096.0
BIP,Brookfield Infrastructure Partners L.P.,Utilities,Utilities - Diversified,14552324096.0
