symbol,name,sector,industry,marketCap,marketCap_str
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,26667853824.0,26.668B
NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,19903041536.0,19.903B
UGI,UGI Corporation,Utilities,Utilities - Regulated Gas,7444967424.0,7.445B
SWX,"Southwest Gas Holdings, Inc.",Utilities,Utilities - Regulated Gas,5749705728.0,5.75B
BIPC,Brookfield Infrastructure Corporation,Utilities,Utilities - Regulated Gas,4791569408.0,4.792B
NJR,New Jersey Resources Corporation,Utilities,Utilities - Regulated Gas,4747916288.0,4.748B
OGS,"ONE Gas, Inc.",Utilities,Utilities - Regulated Gas,4589877760.0,4.59B
SR,Spire Inc.,Utilities,Utilities - Regulated Gas,4521322496.0,4.521B
SR,Spire Inc.,Utilities,Utilities - Regulated Gas,4521322496.0,4.521B
BKH,Black Hills Corporation,Utilities,Utilities - Regulated Gas,4357553152.0,4.358B
MDU,"MDU Resources Group, Inc.",Utilities,Utilities - Regulated Gas,3328552192.0,3.329B
CPK,Chesapeake Utilities Corporation,Utilities,Utilities - Regulated Gas,2909629440.0,2.91B
CTRI,"Centuri Holdings, Inc.",Utilities,Utilities - Regulated Gas,1882908928.0,1.883B
NWN,Northwest Natural Holding Company,Utilities,Utilities - Regulated Gas,1700171648.0,1.7B
SPH,"Suburban Propane Partners, L.P.",Utilities,Utilities - Regulated Gas,1225660160.0,1.226B
OPAL,OPAL Fuels Inc.,Utilities,Utilities - Regulated Gas,407478240.0,0.407B
RGCO,"RGC Resources, Inc.",Utilities,Utilities - Regulated Gas,229639120.0,0.23B
