symbol,name,sector,industry,marketCap,marketCap_str
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,27998658560.0,27.999B
SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,Utilities,Utilities - Regulated Water,15481501696.0,15.482B
WTRG,"Essential Utilities, Inc.",Utilities,Utilities - Regulated Water,11081329664.0,11.081B
AWR,American States Water Company,Utilities,Utilities - Regulated Water,2870075648.0,2.87B
CWT,California Water Service Group,Utilities,Utilities - Regulated Water,2796145664.0,2.796B
HTO,H2O America,Utilities,Utilities - Regulated Water,1777411200.0,1.777B
ARIS,"Aris Water Solutions, Inc.",Utilities,Utilities - Regulated Water,1436204032.0,1.436B
MSEX,Middlesex Water Company,Utilities,Utilities - Regulated Water,964608768.0,0.965B
CWCO,Consolidated Water Co. Ltd.,Utilities,Utilities - Regulated Water,529884640.0,0.53B
YORW,The York Water Company,Utilities,Utilities - Regulated Water,448066688.0,0.448B
ARTNA,Artesian Resources Corporation,Utilities,Utilities - Regulated Water,342114656.0,0.342B
CDZI,Cadiz Inc.,Utilities,Utilities - Regulated Water,293628000.0,0.294B
GWRS,"Global Water Resources, Inc.",Utilities,Utilities - Regulated Water,265392080.0,0.265B
PCYO,Pure Cycle Corporation,Utilities,Utilities - Regulated Water,243150432.0,0.243B
