symbol,name,sector,industry,marketCap
BEP,Brookfield Renewable Partners L.P.,Utilities,Utilities - Renewable,16683010048.0
EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,Utilities,Utilities - Renewable,18826340352.0
BEPC,Brookfield Renewable Corporation,Utilities,Utilities - Renewable,6050970112.0
ORA,"Ormat Technologies, Inc.",Utilities,Utilities - Renewable,5556110336.0
CWEN,"Clearway Energy, Inc.",Utilities,Utilities - Renewable,5902051840.0
XIFR,"XPLR Infrastructure, LP",Utilities,Utilities - Renewable,996042880.0
NRGV,"Energy Vault Holdings, Inc.",Utilities,Utilities - Renewable,326947104.0
STEM,"Stem, Inc.",Utilities,Utilities - Renewable,126472424.0
BEP,Brookfield Renewable Partners L.P.,Utilities,Utilities - Renewable,16683010048.0
CEG,Constellation Energy Corporation,Utilities,Utilities - Renewable,96214810624.0
RNW,ReNew Energy Global Plc,Utilities,Utilities - Renewable,2760672000.0
ENLT,Enlight Renewable Energy Ltd,Utilities,Utilities - Renewable,3356595712.0
FLNC,"Fluence Energy, Inc.",Utilities,Utilities - Renewable,1350544384.0
WAVE,Eco Wave Power Global AB (publ),Utilities,Utilities - Renewable,47564964.0
SAFX,"XCF Global, Inc.",Utilities,Utilities - Renewable,219885248.0
NXXT,NextNRG Inc.,Utilities,Utilities - Renewable,226044000.0
VGAS,"Verde Clean Fuels, Inc.",Utilities,Utilities - Renewable,129193848.0
SUUN,PowerBank Corporation,Utilities,Utilities - Renewable,69991816.0
BNRG,Brenmiller Energy Ltd,Utilities,Utilities - Renewable,6502841.0
HTOO,Fusion Fuel Green PLC,Utilities,Utilities - Renewable,16135837.0
CREG,Smart Powerr Corp.,Utilities,Utilities - Renewable,4531921.0
