ticker,name,sector,industry,marketCap
WM,"Waste Management, Inc.",Industrials,Waste Management,91196686336.0
RSG,"Republic Services, Inc.",Industrials,Waste Management,73049178112.0
WCN,"Waste Connections, Inc.",Industrials,Waste Management,47517237248.0
GFL,GFL Environmental Inc.,Industrials,Waste Management,18181783552.0
CLH,"Clean Harbors, Inc.",Industrials,Waste Management,12990352384.0
MEG,"Montrose Environmental Group, Inc.",Industrials,Waste Management,1095998720.0
NVRI,Enviri Corporation,Industrials,Waste Management,911322432.0
CWST,"Casella Waste Systems, Inc.",Industrials,Waste Management,6257623552.0
PESI,"Perma-Fix Environmental Services, Inc.",Industrials,Waste Management,219610688.0
ABAT,American Battery Technology Company,Industrials,Waste Management,228534048.0
ESGL,ESGL Holdings Limited,Industrials,Waste Management,112067416.0
LNZA,"LanzaTech Global, Inc.",Industrials,Waste Management,49090352.0
ENGS,Energys Group Limited,Industrials,Waste Management,62842496.0
QRHC,Quest Resource Holding Corporation,Industrials,Waste Management,38628252.0
DXST,Decent Holding Inc.,Industrials,Waste Management,19175000.0
GWAV,"Greenwave Technology Solutions, Inc.",Industrials,Waste Management,3881834.0
CDTG,CDT Environmental Technology Investment Holdings Limited,Industrials,Waste Management,7271749.0
AQMS,"Aqua Metals, Inc.",Industrials,Waste Management,5370920.0
