symbol,name,sector,industry,marketCap,rank
APP,AppLovin Corporation,Communication Services,Advertising Agencies,161883062272.0,1.0
TTD,"The Trade Desk, Inc.",Communication Services,Advertising Agencies,26725623808.0,2.0
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,15174323200.0,3.0
IPG,"The Interpublic Group of Companies, Inc.",Communication Services,Advertising Agencies,9830579200.0,4.0
WPP,WPP plc,Communication Services,Advertising Agencies,5726084608.0,5.0
GE,GE Aerospace,Industrials,Aerospace & Defense,291833085952.0,1.0
RTX,RTX Corporation,Industrials,Aerospace & Defense,212292452352.0,2.0
BA,The Boeing Company,Industrials,Aerospace & Defense,177455153152.0,3.0
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,106373652480.0,4.0
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,87307059200.0,5.0
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,50382434304.0,1.0
NTR,Nutrien Ltd.,Basic Materials,Agricultural Inputs,27996635136.0,2.0
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,14031719424.0,3.0
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,10600425472.0,4.0
ICL,ICL Group Ltd,Basic Materials,Agricultural Inputs,8311914496.0,5.0
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,40339124224.0,1.0
UAL,"United Airlines Holdings, Inc.",Industrials,Airlines,33988622336.0,2.0
RYAAY,Ryanair Holdings plc,Industrials,Airlines,33654333440.0,3.0
LUV,Southwest Airlines Co.,Industrials,Airlines,17278685184.0,4.0
LTM,,Industrials,Airlines,15189526528.0,5.0
JOBY,"Joby Aviation, Inc.",Industrials,Airports & Air Services,12112145408.0,1.0
PAC,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",Industrials,Airports & Air Services,12102080512.0,2.0
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Industrials,Airports & Air Services,9754200064.0,3.0
OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",Industrials,Airports & Air Services,4918774272.0,4.0
CAAP,Corporación América Airports S.A.,Industrials,Airports & Air Services,3508001536.0,5.0
AA,Alcoa Corporation,Basic Materials,Aluminum,8334473728.0,1.0
CENX,Century Aluminum Company,Basic Materials,Aluminum,2084262144.0,2.0
CSTM,Constellium SE,Basic Materials,Aluminum,2021920256.0,3.0
KALU,Kaiser Aluminum Corporation,Basic Materials,Aluminum,1259780864.0,4.0
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,17986326528.0,1.0
LEVI,Levi Strauss & Co.,Consumer Cyclical,Apparel Manufacturing,8850780160.0,2.0
GIL,Gildan Activewear Inc.,Consumer Cyclical,Apparel Manufacturing,8138840064.0,3.0
VFC,V.F. Corporation,Consumer Cyclical,Apparel Manufacturing,5910034944.0,4.0
KTB,"Kontoor Brands, Inc.",Consumer Cyclical,Apparel Manufacturing,4293106944.0,5.0
TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,152038735872.0,1.0
ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,48131772416.0,2.0
LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,24233871360.0,3.0
BURL,"Burlington Stores, Inc.",Consumer Cyclical,Apparel Retail,18323013632.0,4.0
GAP,"The Gap, Inc.",Consumer Cyclical,Apparel Retail,8166744576.0,5.0
BX,Blackstone Inc.,Financial Services,Asset Management,210510036992.0,1.0
BLK,"BlackRock, Inc.",Financial Services,Asset Management,174540996608.0,2.0
KKR,KKR & Co. Inc.,Financial Services,Asset Management,129100374016.0,3.0
BN,Brookfield Corporation,Financial Services,Asset Management,98302664704.0,4.0
BAM,Brookfield Asset Management Ltd.,Financial Services,Asset Management,97044701184.0,5.0
CVNA,Carvana Co.,Consumer Cyclical,Auto & Truck Dealerships,43494928384.0,1.0
PAG,"Penske Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,12179248128.0,2.0
KMX,"CarMax, Inc.",Consumer Cyclical,Auto & Truck Dealerships,9206917120.0,3.0
LAD,"Lithia Motors, Inc.",Consumer Cyclical,Auto & Truck Dealerships,8631297024.0,4.0
AN,"AutoNation, Inc.",Consumer Cyclical,Auto & Truck Dealerships,8260630528.0,5.0
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,1076855177216.0,1.0
TM,Toyota Motor Corporation,Consumer Cyclical,Auto Manufacturers,253590880256.0,2.0
RACE,Ferrari N.V.,Consumer Cyclical,Auto Manufacturers,85047410688.0,3.0
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,55782252544.0,4.0
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,46842953728.0,5.0
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Auto Parts,87972167680.0,1.0
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,70235947008.0,2.0
GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts,19379689472.0,3.0
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,17318453248.0,4.0
MGA,Magna International Inc.,Consumer Cyclical,Auto Parts,12933656576.0,5.0
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,828829663232.0,1.0
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,375828643840.0,2.0
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,263258718208.0,3.0
HSBC,HSBC Holdings plc,Financial Services,Banks - Diversified,223558762496.0,4.0
