symbol,name,sector,industry,marketCap,marketCap_str
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,100254007296.0,100.254B
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,61546651648.0,61.547B
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,58528083968.0,58.528B
ARGX,argenx SE,Healthcare,Biotechnology,43586568192.0,43.587B
ONC,BeOne Medicines AG,Healthcare,Biotechnology,37655474176.0,37.655B
INSM,Insmed Incorporated,Healthcare,Biotechnology,28768139264.0,28.768B
BNTX,BioNTech SE,Healthcare,Biotechnology,24039901184.0,24.04B
RPRX,Royalty Pharma plc,Healthcare,Biotechnology,20982601728.0,20.983B
SMMT,Summit Therapeutics Inc.,Healthcare,Biotechnology,17605474304.0,17.605B
INCY,Incyte Corporation,Healthcare,Biotechnology,16522302464.0,16.522B
GMAB,Genmab A/S,Healthcare,Biotechnology,15800856576.0,15.801B
ASND,Ascendis Pharma A/S,Healthcare,Biotechnology,11763903488.0,11.764B
BMRN,BioMarin Pharmaceutical Inc.,Healthcare,Biotechnology,11188714496.0,11.189B
CAI,"Caris Life Sciences, Inc.",Healthcare,Biotechnology,10797878272.0,10.798B
EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,10073576448.0,10.074B
BBIO,"BridgeBio Pharma, Inc.",Healthcare,Biotechnology,9894906880.0,9.895B
MDGL,"Madrigal Pharmaceuticals, Inc.",Healthcare,Biotechnology,9759239168.0,9.759B
MRNA,"Moderna, Inc.",Healthcare,Biotechnology,9372937216.0,9.373B
VRNA,Verona Pharma plc,Healthcare,Biotechnology,9000115200.0,9.0B
HALO,"Halozyme Therapeutics, Inc.",Healthcare,Biotechnology,8556063232.0,8.556B
TECH,Bio-Techne Corporation,Healthcare,Biotechnology,8497696768.0,8.498B
ROIV,Roivant Sciences Ltd.,Healthcare,Biotechnology,8151562240.0,8.152B
JAZZ,Jazz Pharmaceuticals plc,Healthcare,Biotechnology,7749161472.0,7.749B
CORT,Corcept Therapeutics Incorporated,Healthcare,Biotechnology,7346535936.0,7.347B
RVMD,"Revolution Medicines, Inc.",Healthcare,Biotechnology,7097845760.0,7.098B
RYTM,"Rhythm Pharmaceuticals, Inc.",Healthcare,Biotechnology,6851233280.0,6.851B
IONS,"Ionis Pharmaceuticals, Inc.",Healthcare,Biotechnology,6795635200.0,6.796B
