symbol,name,sector,industry,marketCap,marketCap_str
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,69313822720.0,69.314B
TAK,Takeda Pharmaceutical Company Limited,Healthcare,Drug Manufacturers - Specialty & Generic,47976091648.0,47.976B
HLN,Haleon plc,Healthcare,Drug Manufacturers - Specialty & Generic,43914190848.0,43.914B
TEVA,Teva Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,21084614656.0,21.085B
NBIX,"Neurocrine Biosciences, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,13845738496.0,13.846B
UTHR,United Therapeutics Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,13783168000.0,13.783B
VTRS,Viatris Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,12299928576.0,12.3B
RDY,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,12086414336.0,12.086B
ELAN,Elanco Animal Health Incorporated,Healthcare,Drug Manufacturers - Specialty & Generic,9116537856.0,9.117B
RGC,Regencell Bioscience Holdings Limited,Healthcare,Drug Manufacturers - Specialty & Generic,6947570176.0,6.948B
ALKS,Alkermes plc,Healthcare,Drug Manufacturers - Specialty & Generic,4782309376.0,4.782B
LNTH,"Lantheus Holdings, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,3732881664.0,3.733B
PBH,Prestige Consumer Healthcare Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,3348534272.0,3.349B
PRGO,Perrigo Company plc,Healthcare,Drug Manufacturers - Specialty & Generic,3266220544.0,3.266B
INDV,Indivior PLC,Healthcare,Drug Manufacturers - Specialty & Generic,3029415680.0,3.029B
AMRX,"Amneal Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,3002595328.0,3.003B
BHC,Bausch Health Companies Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,2743842048.0,2.744B
HCM,HUTCHMED (China) Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2579618560.0,2.58B
SUPN,"Supernus Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,2530018304.0,2.53B
ALVO,Alvotech,Healthcare,Drug Manufacturers - Specialty & Generic,2514619904.0,2.515B
KNSA,"Kiniksa Pharmaceuticals International, plc",Healthcare,Drug Manufacturers - Specialty & Generic,2481866752.0,2.482B
ANIP,"ANI Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,2027902848.0,2.028B
BCRX,"BioCryst Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,1744435328.0,1.744B
