symbol,name,sector,industry,marketCap,marketCap_str
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,94524211200.0,94.524B
THC,Tenet Healthcare Corporation,Healthcare,Medical Care Facilities,16285740032.0,16.286B
FMS,Fresenius Medical Care AG,Healthcare,Medical Care Facilities,15081454592.0,15.081B
EHC,Encompass Health Corporation,Healthcare,Medical Care Facilities,12264154112.0,12.264B
UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,11555515392.0,11.556B
ENSG,"The Ensign Group, Inc.",Healthcare,Medical Care Facilities,9911740416.0,9.912B
DVA,DaVita Inc.,Healthcare,Medical Care Facilities,9849839616.0,9.85B
CHE,Chemed Corporation,Healthcare,Medical Care Facilities,6673110016.0,6.673B
OPCH,"Option Care Health, Inc.",Healthcare,Medical Care Facilities,4654620672.0,4.655B
AMED,"Amedisys, Inc.",Healthcare,Medical Care Facilities,3321328640.0,3.321B
CON,"Concentra Group Holdings Parent, Inc.",Healthcare,Medical Care Facilities,3050469632.0,3.05B
SGRY,"Surgery Partners, Inc.",Healthcare,Medical Care Facilities,2909062400.0,2.909B
LFST,"LifeStance Health Group, Inc.",Healthcare,Medical Care Facilities,2131369344.0,2.131B
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,2120277888.0,2.12B
ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,2119957248.0,2.12B
NAKA,"Kindly MD, Inc.",Healthcare,Medical Care Facilities,2046092800.0,2.046B
BKD,Brookdale Senior Living Inc.,Healthcare,Medical Care Facilities,1828672896.0,1.829B
ARDT,"Ardent Health, Inc.",Healthcare,Medical Care Facilities,1816015104.0,1.816B
PACS,"PACS Group, Inc.",Healthcare,Medical Care Facilities,1806272000.0,1.806B
PIII,P3 Health Partners Inc.,Healthcare,Medical Care Facilities,1692148864.0,1.692B
GRDN,"Guardian Pharmacy Services, Inc.",Healthcare,Medical Care Facilities,1672946048.0,1.673B
AVAH,Aveanna Healthcare Holdings Inc.,Healthcare,Medical Care Facilities,1671168000.0,1.671B
SEM,Select Medical Holdings Corporation,Healthcare,Medical Care Facilities,1613096960.0,1.613B
MD,"Pediatrix Medical Group, Inc.",Healthcare,Medical Care Facilities,1498718976.0,1.499B
ASTH,"Astrana Health, Inc.",Healthcare,Medical Care Facilities,1475158528.0,1.475B
USPH,"U.S. Physical Therapy, Inc.",Healthcare,Medical Care Facilities,1260267776.0,1.26B
HCSG,"Healthcare Services Group, Inc.",Healthcare,Medical Care Facilities,1130362240.0,1.13B
PNTG,"The Pennant Group, Inc.",Healthcare,Medical Care Facilities,829833600.0,0.83B
AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,796379008.0,0.796B
AGL,"agilon health, inc.",Healthcare,Medical Care Facilities,530461440.0,0.53B
INNV,InnovAge Holding Corp.,Healthcare,Medical Care Facilities,517099744.0,0.517B
SNDA,"Sonida Senior Living, Inc.",Healthcare,Medical Care Facilities,487518272.0,0.488B
AUNA,,Healthcare,Medical Care Facilities,465541760.0,0.466B
NUTX,Nutex Health Inc.,Healthcare,Medical Care Facilities,465463520.0,0.465B
CCRN,"Cross Country Healthcare, Inc.",Healthcare,Medical Care Facilities,438355552.0,0.438B
CMPS,COMPASS Pathways plc,Healthcare,Medical Care Facilities,424060544.0,0.424B
AIRS,"AirSculpt Technologies, Inc.",Healthcare,Medical Care Facilities,402716704.0,0.403B
EHAB,"Enhabit, Inc.",Healthcare,Medical Care Facilities,399440352.0,0.399B
CYH,"Community Health Systems, Inc.",Healthcare,Medical Care Facilities,386728448.0,0.387B
TOI,"The Oncology Institute, Inc.",Healthcare,Medical Care Facilities,317916320.0,0.318B
JYNT,The Joint Corp.,Healthcare,Medical Care Facilities,164788112.0,0.165B
BTMD,biote Corp.,Healthcare,Medical Care Facilities,164608480.0,0.165B
DCGO,DocGo Inc.,Healthcare,Medical Care Facilities,152580624.0,0.153B
BMGL,Basel Medical Group Ltd,Healthcare,Medical Care Facilities,38323032.0,0.038B
CCM,Concord Medical Services Holdings Limited,Healthcare,Medical Care Facilities,22684184.0,0.023B
MODV,ModivCare Inc.,Healthcare,Medical Care Facilities,6199406.0,0.006B
NIVF,NewGenIvf Group Limited,Healthcare,Medical Care Facilities,3445438.0,0.003B
