symbol,name,sector,industry,marketCap,marketCap_str
ABT,Abbott Laboratories,Healthcare,Medical Devices,230889439232.0,230.889B
BSX,Boston Scientific Corporation,Healthcare,Medical Devices,156324626432.0,156.325B
SYK,Stryker Corporation,Healthcare,Medical Devices,149638791168.0,149.639B
MDT,Medtronic plc,Healthcare,Medical Devices,119046463488.0,119.046B
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,47754715136.0,47.755B
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,29544955904.0,29.545B
PHG,Koninklijke Philips N.V.,Healthcare,Medical Devices,26216830976.0,26.217B
STE,STERIS plc,Healthcare,Medical Devices,24136105984.0,24.136B
PODD,Insulet Corporation,Healthcare,Medical Devices,23925002240.0,23.925B
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,21017985024.0,21.018B
SNN,Smith & Nephew plc,Healthcare,Medical Devices,16292061184.0,16.292B
PEN,"Penumbra, Inc.",Healthcare,Medical Devices,10632715264.0,10.633B
GMED,"Globus Medical, Inc.",Healthcare,Medical Devices,8274941952.0,8.275B
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Devices,7857895936.0,7.858B
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Devices,7857895936.0,7.858B
MASI,Masimo Corporation,Healthcare,Medical Devices,7589718016.0,7.59B
GKOS,Glaukos Corporation,Healthcare,Medical Devices,5495277056.0,5.495B
IRTC,"iRhythm Technologies, Inc.",Healthcare,Medical Devices,5461083136.0,5.461B
BRKR,Bruker Corporation,Healthcare,Medical Devices,5155411968.0,5.155B
TMDX,"TransMedics Group, Inc.",Healthcare,Medical Devices,3919032320.0,3.919B
ITGR,Integer Holdings Corporation,Healthcare,Medical Devices,3779204096.0,3.779B
LIVN,LivaNova PLC,Healthcare,Medical Devices,3077863936.0,3.078B
INSP,"Inspire Medical Systems, Inc.",Healthcare,Medical Devices,2770816256.0,2.771B
HAE,Haemonetics Corporation,Healthcare,Medical Devices,2627589888.0,2.628B
ATEC,"Alphatec Holdings, Inc.",Healthcare,Medical Devices,2352945664.0,2.353B
PRCT,PROCEPT BioRobotics Corporation,Healthcare,Medical Devices,2234894080.0,2.235B
AORT,"Artivion, Inc.",Healthcare,Medical Devices,2072779904.0,2.073B
QDEL,QuidelOrtho Corporation,Healthcare,Medical Devices,1948065280.0,1.948B
ENOV,Enovis Corporation,Healthcare,Medical Devices,1766237824.0,1.766B
CNMD,CONMED Corporation,Healthcare,Medical Devices,1682713856.0,1.683B
UFPT,"UFP Technologies, Inc.",Healthcare,Medical Devices,1620571136.0,1.621B
NVCR,NovoCure Limited,Healthcare,Medical Devices,1378481664.0,1.378B
SSII,"SS Innovations International, Inc.",Healthcare,Medical Devices,1355228032.0,1.355B
AHCO,AdaptHealth Corp.,Healthcare,Medical Devices,1283977984.0,1.284B
ESTA,Establishment Labs Holdings Inc.,Healthcare,Medical Devices,1195620864.0,1.196B
IART,Integra LifeSciences Holdings Corporation,Healthcare,Medical Devices,1178790400.0,1.179B
INMD,InMode Ltd.,Healthcare,Medical Devices,944345408.0,0.944B
IRMD,IRADIMED CORPORATION,Healthcare,Medical Devices,921436800.0,0.921B
TNDM,"Tandem Diabetes Care, Inc.",Healthcare,Medical Devices,845294528.0,0.845B
BBNX,"Beta Bionics, Inc.",Healthcare,Medical Devices,818976704.0,0.819B
AXGN,"Axogen, Inc.",Healthcare,Medical Devices,742643328.0,0.743B
SIBN,"SI-BONE, Inc.",Healthcare,Medical Devices,719158784.0,0.719B
OFIX,Orthofix Medical Inc.,Healthcare,Medical Devices,591624576.0,0.592B
AVNS,"Avanos Medical, Inc.",Healthcare,Medical Devices,554045824.0,0.554B
KIDS,OrthoPediatrics Corp.,Healthcare,Medical Devices,535572096.0,0.536B
ZIMV,ZimVie Inc.,Healthcare,Medical Devices,532432960.0,0.532B
CTKB,"Cytek Biosciences, Inc.",Healthcare,Medical Devices,526707328.0,0.527B
BVS,Bioventus Inc.,Healthcare,Medical Devices,495003040.0,0.495B
SRDX,"Surmodics, Inc.",Healthcare,Medical Devices,486690304.0,0.487B
LAB,Standard BioTools Inc.,Healthcare,Medical Devices,481313696.0,0.481B
VREX,Varex Imaging Corporation,Healthcare,Medical Devices,479564096.0,0.48B
TMCI,"Treace Medical Concepts, Inc.",Healthcare,Medical Devices,463690560.0,0.464B
SMLR,"Semler Scientific, Inc.",Healthcare,Medical Devices,438811296.0,0.439B
CBLL,,Healthcare,Medical Devices,433735104.0,0.434B
BFLY,"Butterfly Network, Inc.",Healthcare,Medical Devices,405303008.0,0.405B
PACB,"Pacific Biosciences of California, Inc.",Healthcare,Medical Devices,393486016.0,0.393B
DCTH,"Delcath Systems, Inc.",Healthcare,Medical Devices,385493952.0,0.385B
RXST,"RxSight, Inc.",Healthcare,Medical Devices,369880640.0,0.37B
SNWV,"SANUWAVE Health, Inc.",Healthcare,Medical Devices,356771520.0,0.357B
NPCE,"NeuroPace, Inc.",Healthcare,Medical Devices,302695712.0,0.303B
CLPT,"ClearPoint Neuro, Inc.",Healthcare,Medical Devices,298203424.0,0.298B
TCMD,"Tactile Systems Technology, Inc.",Healthcare,Medical Devices,296707872.0,0.297B
BWAY,BrainsWay Ltd.,Healthcare,Medical Devices,294112000.0,0.294B
VMD,"Viemed Healthcare, Inc.",Healthcare,Medical Devices,285851328.0,0.286B
TLSI,"TriSalus Life Sciences, Inc.",Healthcare,Medical Devices,260307296.0,0.26B
CERS,Cerus Corporation,Healthcare,Medical Devices,251125696.0,0.251B
NNOX,Nano-X Imaging Ltd.,Healthcare,Medical Devices,247446240.0,0.247B
OM,"Outset Medical, Inc.",Healthcare,Medical Devices,247127840.0,0.247B
MGRM,Monogram Technologies Inc.,Healthcare,Medical Devices,235667920.0,0.236B
