symbol,name,sector,industry,marketCap,marketCap_str
MCK,McKesson Corporation,Healthcare,Medical Distribution,85407031296.0,85.407B
COR,"Cencora, Inc.",Healthcare,Medical Distribution,56536760320.0,56.537B
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,35527770112.0,35.528B
HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,8437827584.0,8.438B
AHG,Akso Health Group,Healthcare,Medical Distribution,939133760.0,0.939B
OMI,"Owens & Minor, Inc.",Healthcare,Medical Distribution,378496576.0,0.378B
QIPT,Quipt Home Medical Corp.,Healthcare,Medical Distribution,114257728.0,0.114B
EMPG,Empro Group Inc.,Healthcare,Medical Distribution,86520000.0,0.087B
EDAP,EDAP TMS S.A.,Healthcare,Medical Distribution,84506144.0,0.085B
YI,"111, Inc.",Healthcare,Medical Distribution,55731636.0,0.056B
ZYXI,"Zynex, Inc.",Healthcare,Medical Distribution,49687736.0,0.05B
COSM,Cosmos Health Inc.,Healthcare,Medical Distribution,23868982.0,0.024B
SNYR,Synergy CHC Corp.,Healthcare,Medical Distribution,22849278.0,0.023B
