symbol,name,sector,industry,marketCap,marketCap_str
SAP,SAP SE,Technology,Software - Application,316957556736.0,316.958B
CRM,"Salesforce, Inc.",Technology,Software - Application,244974993408.0,244.975B
UBER,"Uber Technologies, Inc.",Technology,Software - Application,195508125696.0,195.508B
NOW,"ServiceNow, Inc.",Technology,Software - Application,190390386688.0,190.39B
INTU,Intuit Inc.,Technology,Software - Application,186057654272.0,186.058B
SHOP,Shopify Inc.,Technology,Software - Application,183487397888.0,183.487B
ADBE,Adobe Inc.,Technology,Software - Application,151312138240.0,151.312B
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,123153317888.0,123.153B
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,95488663552.0,95.489B
MSTR,Strategy Inc,Technology,Software - Application,94822957056.0,94.823B
SNOW,Snowflake Inc.,Technology,Software - Application,79630819328.0,79.631B
ADSK,"Autodesk, Inc.",Technology,Software - Application,67328491520.0,67.328B
WDAY,"Workday, Inc.",Technology,Software - Application,61628940288.0,61.629B
ROP,"Roper Technologies, Inc.",Technology,Software - Application,56638324736.0,56.638B
PAYX,"Paychex, Inc.",Technology,Software - Application,50149273600.0,50.149B
DDOG,"Datadog, Inc.",Technology,Software - Application,47666462720.0,47.666B
TEAM,Atlassian Corporation,Technology,Software - Application,46637916160.0,46.638B
FICO,Fair Isaac Corporation,Technology,Software - Application,36524990464.0,36.525B
PTC,PTC Inc.,Technology,Software - Application,25575804928.0,25.576B
HUBS,"HubSpot, Inc.",Technology,Software - Application,25459726336.0,25.46B
ZM,Zoom Communications Inc.,Technology,Software - Application,24367810560.0,24.368B
TYL,"Tyler Technologies, Inc.",Technology,Software - Application,24351201280.0,24.351B
SSNC,"SS&C Technologies Holdings, Inc.",Technology,Software - Application,21652633600.0,21.653B
GRAB,Grab Holdings Limited,Technology,Software - Application,20342032384.0,20.342B
GWRE,"Guidewire Software, Inc.",Technology,Software - Application,18272043008.0,18.272B
BSY,"Bentley Systems, Incorporated",Technology,Software - Application,16897065984.0,16.897B
U,Unity Software Inc.,Technology,Software - Application,16651435008.0,16.651B
DOCU,"DocuSign, Inc.",Technology,Software - Application,15490151424.0,15.49B
DT,"Dynatrace, Inc.",Technology,Software - Application,15256202240.0,15.256B
YMM,Full Truck Alliance Co. Ltd.,Technology,Software - Application,13648864256.0,13.649B
DUOL,"Duolingo, Inc.",Technology,Software - Application,13648509952.0,13.649B
MANH,"Manhattan Associates, Inc.",Technology,Software - Application,13027355648.0,13.027B
PAYC,"Paycom Software, Inc.",Technology,Software - Application,12778686464.0,12.779B
GTM,ZoomInfo Technologies Inc.,Technology,Software - Application,11333601280.0,11.334B
DAY,Dayforce Inc,Technology,Software - Application,11009774592.0,11.01B
PCOR,"Procore Technologies, Inc.",Technology,Software - Application,10439915520.0,10.44B
MNDY,monday.com Ltd.,Technology,Software - Application,9949440000.0,9.949B
APPF,"AppFolio, Inc.",Technology,Software - Application,9944905728.0,9.945B
PCTY,Paylocity Holding Corporation,Technology,Software - Application,9886613504.0,9.887B
CHYM,"Chime Financial, Inc.",Technology,Software - Application,9816887296.0,9.817B
TTAN,"ServiceTitan, Inc.",Technology,Software - Application,9722640384.0,9.723B
PEGA,Pegasystems Inc.,Technology,Software - Application,9274300416.0,9.274B
SRAD,Sportradar Group AG,Technology,Software - Application,9156755456.0,9.157B
ESTC,Elastic N.V.,Technology,Software - Application,9039411200.0,9.039B
NICE,NICE Ltd.,Technology,Software - Application,8727189504.0,8.727B
DSGX,The Descartes Systems Group Inc.,Technology,Software - Application,8573990400.0,8.574B
OTEX,Open Text Corporation,Technology,Software - Application,8410263040.0,8.41B
CVLT,"Commvault Systems, Inc.",Technology,Software - Application,8298181120.0,8.298B
LIF,"Life360, Inc.",Technology,Software - Application,7013882880.0,7.014B
IDCC,"InterDigital, Inc.",Technology,Software - Application,7010769920.0,7.011B
CWAN,"Clearwater Analytics Holdings, Inc.",Technology,Software - Application,6731164672.0,6.731B
LYFT,"Lyft, Inc.",Technology,Software - Application,6592488448.0,6.592B
BULL,Webull Corporation,Technology,Software - Application,6587712000.0,6.588B
CCCS,CCC Intelligent Solutions Holdings Inc.,Technology,Software - Application,6447424000.0,6.447B
FROG,JFrog Ltd.,Technology,Software - Application,5763552256.0,5.764B
SOUN,"SoundHound AI, Inc.",Technology,Software - Application,5308071936.0,5.308B
QTWO,"Q2 Holdings, Inc.",Technology,Software - Application,4916090368.0,4.916B
YOU,"Clear Secure, Inc.",Technology,Software - Application,4826543104.0,4.827B
BILL,"BILL Holdings, Inc.",Technology,Software - Application,4717618176.0,4.718B
WK,Workiva Inc.,Technology,Software - Application,4606723072.0,4.607B
SPSC,"SPS Commerce, Inc.",Technology,Software - Application,4181340672.0,4.181B
VERX,"Vertex, Inc.",Technology,Software - Application,4117618688.0,4.118B
KC,Kingsoft Cloud Holdings Limited,Technology,Software - Application,4069799680.0,4.07B
FRSH,Freshworks Inc.,Technology,Software - Application,3925548544.0,3.926B
INTA,"Intapp, Inc.",Technology,Software - Application,3776698880.0,3.777B
NCNO,"nCino, Inc.",Technology,Software - Application,3718819840.0,3.719B
ASAN,"Asana, Inc.",Technology,Software - Application,3435701248.0,3.436B
BL,"BlackLine, Inc.",Technology,Software - Application,3364839680.0,3.365B
BLKB,"Blackbaud, Inc.",Technology,Software - Application,3236035328.0,3.236B
AGYS,"Agilysys, Inc.",Technology,Software - Application,3060030464.0,3.06B
BTDR,Bitdeer Technologies Group,Technology,Software - Application,3056388096.0,3.056B
GRND,Grindr Inc.,Technology,Software - Application,3002535936.0,3.003B
ALRM,"Alarm.com Holdings, Inc.",Technology,Software - Application,2925930240.0,2.926B
BRZE,"Braze, Inc.",Technology,Software - Application,2925452544.0,2.925B
NATL,NCR Atleos Corporation,Technology,Software - Application,2915477248.0,2.915B
DAVE,Dave Inc.,Technology,Software - Application,2878192896.0,2.878B
RNG,"RingCentral, Inc.",Technology,Software - Application,2762457856.0,2.762B
ALKT,"Alkami Technology, Inc.",Technology,Software - Application,2664524800.0,2.665B
WRD,WeRide Inc.,Technology,Software - Application,2663191296.0,2.663B
DV,"DoubleVerify Holdings, Inc.",Technology,Software - Application,2662227712.0,2.662B
SPNS,Sapiens International Corporation N.V.,Technology,Software - Application,2398135808.0,2.398B
DBD,"Diebold Nixdorf, Incorporated",Technology,Software - Application,2238673152.0,2.239B
CXM,"Sprinklr, Inc.",Technology,Software - Application,2236360448.0,2.236B
ALIT,"Alight, Inc.",Technology,Software - Application,2132021248.0,2.132B
PAR,PAR Technology Corporation,Technology,Software - Application,2076940672.0,2.077B
PLUS,ePlus inc.,Technology,Software - Application,1926894720.0,1.927B
PRCH,"Porch Group, Inc.",Technology,Software - Application,1769444864.0,1.769B
OLO,Olo Inc.,Technology,Software - Application,1736360192.0,1.736B
LSPD,Lightspeed Commerce Inc.,Technology,Software - Application,1672968320.0,1.673B
ADEA,Adeia Inc.,Technology,Software - Application,1644909696.0,1.645B
KARO,Karooooo Ltd.,Technology,Software - Application,1626686720.0,1.627B
DFIN,"Donnelley Financial Solutions, Inc.",Technology,Software - Application,1560879872.0,1.561B
PD,"PagerDuty, Inc.",Technology,Software - Application,1542992768.0,1.543B
AMPL,"Amplitude, Inc.",Technology,Software - Application,1514703616.0,1.515B
MNTN,"MNTN, Inc.",Technology,Software - Application,1482012928.0,1.482B
MLNK,"MeridianLink, Inc.",Technology,Software - Application,1471736576.0,1.472B
UPBD,"Upbound Group, Inc.",Technology,Software - Application,1471127168.0,1.471B
NUKKW,Nukkleus Inc.,Technology,Software - Application,1423937536.0,1.424B
JAMF,Jamf Holding Corp.,Technology,Software - Application,1238040832.0,1.238B
YALA,Yalla Group Limited,Technology,Software - Application,1233506816.0,1.234B
SEMR,"Semrush Holdings, Inc.",Technology,Software - Application,1174777472.0,1.175B
FSLY,"Fastly, Inc.",Technology,Software - Application,1121714048.0,1.122B
YB,Yuanbao Inc.,Technology,Software - Application,1055327488.0,1.055B
ETWO,"E2open Parent Holdings, Inc.",Technology,Software - Application,1032451200.0,1.032B
ALTS,ALT5 Sigma Corporation,Technology,Software - Application,966158912.0,0.966B
BLND,"Blend Labs, Inc.",Technology,Software - Application,938752832.0,0.939B
STRD,Strategy Inc,Technology,Software - Application,932470144.0,0.932B
SPT,"Sprout Social, Inc.",Technology,Software - Application,928692032.0,0.929B
DCBO,Docebo Inc.,Technology,Software - Application,895589376.0,0.896B
SMWB,Similarweb Ltd.,Technology,Software - Application,881768128.0,0.882B
VERB,"Verb Technology Company, Inc.",Technology,Software - Application,877814080.0,0.878B
PDFS,"PDF Solutions, Inc.",Technology,Software - Application,807629824.0,0.808B
RSKD,Riskified Ltd.,Technology,Software - Application,782547136.0,0.783B
PRO,"PROS Holdings, Inc.",Technology,Software - Application,745650752.0,0.746B
VTEX,VTEX,Technology,Software - Application,742409088.0,0.742B
RBBN,Ribbon Communications Inc.,Technology,Software - Application,722494528.0,0.722B
RDVT,"Red Violet, Inc.",Technology,Software - Application,702239680.0,0.702B
VMEO,"Vimeo, Inc.",Technology,Software - Application,695981952.0,0.696B
IBTA,"Ibotta, Inc.",Technology,Software - Application,680542144.0,0.681B
DSP,Viant Technology Inc.,Technology,Software - Application,654691392.0,0.655B
DJCO,Daily Journal Corporation,Technology,Software - Application,643535296.0,0.644B
DOMO,"Domo, Inc.",Technology,Software - Application,590651264.0,0.591B
HKD,AMTD Digital Inc.,Technology,Software - Application,509132000.0,0.509B
MITK,"Mitek Systems, Inc.",Technology,Software - Application,464229984.0,0.464B
CRNC,Cerence Inc.,Technology,Software - Application,456156416.0,0.456B
APPS,"Digital Turbine, Inc.",Technology,Software - Application,455174976.0,0.455B
RMNI,"Rimini Street, Inc.",Technology,Software - Application,400602944.0,0.401B
PUBM,"PubMatic, Inc.",Technology,Software - Application,396418400.0,0.396B
BIGC,"Commerce.com, Inc.",Technology,Software - Application,385913824.0,0.386B
BZAI,"Blaize Holdings, Inc.",Technology,Software - Application,366353408.0,0.366B
OOMA,"Ooma, Inc.",Technology,Software - Application,356084256.0,0.356B
LAW,"CS Disco, Inc.",Technology,Software - Application,337727648.0,0.338B
AZ,A2Z Cust2Mate Solutions Corp.,Technology,Software - Application,319487648.0,0.319B
API,"Agora, Inc.",Technology,Software - Application,313001248.0,0.313B
MTLS,Materialise NV,Technology,Software - Application,301833408.0,0.302B
TRAK,"ReposiTrak, Inc.",Technology,Software - Application,296077696.0,0.296B
OCFT,"OneConnect Financial Technology Co., Ltd.",Technology,Software - Application,283638528.0,0.284B
SMRT,"SmartRent, Inc.",Technology,Software - Application,278345088.0,0.278B
XPER,Xperi Inc.,Technology,Software - Application,277561216.0,0.278B
NRDY,"Nerdy, Inc.",Technology,Software - Application,252686656.0,0.253B
KLTR,"Kaltura, Inc.",Technology,Software - Application,245640704.0,0.246B
ONTF,"ON24, Inc.",Technology,Software - Application,241992032.0,0.242B
ASUR,"Asure Software, Inc.",Technology,Software - Application,230369984.0,0.23B
IMMR,Immersion Corporation,Technology,Software - Application,228718576.0,0.229B
XTKG,"X3 Holdings Co., Ltd.",Technology,Software - Application,216132512.0,0.216B
CCRD,CoreCard Corporation,Technology,Software - Application,215615152.0,0.216B
MAPS,"WM Technology, Inc.",Technology,Software - Application,212064800.0,0.212B
PERF,Perfect Corp.,Technology,Software - Application,208790448.0,0.209B
NXTT,Next Technology Holding Inc.,Technology,Software - Application,201349744.0,0.201B
DMRC,Digimarc Corporation,Technology,Software - Application,187760928.0,0.188B
EXFY,"Expensify, Inc.",Technology,Software - Application,181595184.0,0.182B
EGAN,eGain Corporation,Technology,Software - Application,172035904.0,0.172B
SSTI,"SoundThinking, Inc.",Technology,Software - Application,162833248.0,0.163B
SVCO,"Silvaco Group, Inc.",Technology,Software - Application,162240416.0,0.162B
AEYE,"AudioEye, Inc.",Technology,Software - Application,159437664.0,0.159B
HIT,"Health In Tech, Inc.",Technology,Software - Application,155070576.0,0.155B
DHX,"DHI Group, Inc.",Technology,Software - Application,132028600.0,0.132B
DUOT,"Duos Technologies Group, Inc.",Technology,Software - Application,124251520.0,0.124B
IDN,"Intellicheck, Inc.",Technology,Software - Application,109203280.0,0.109B
RSSS,"Research Solutions, Inc.",Technology,Software - Application,98349864.0,0.098B
LPSN,"LivePerson, Inc.",Technology,Software - Application,87476488.0,0.087B
ZENV,Zenvia Inc.,Technology,Software - Application,83116296.0,0.083B
ATHR,"Aether Holdings, Inc.",Technology,Software - Application,82288840.0,0.082B
UPLD,"Upland Software, Inc.",Technology,Software - Application,81425040.0,0.081B
PSQH,"PSQ Holdings, Inc.",Technology,Software - Application,76214248.0,0.076B
RCT,RedCloud Holdings plc,Technology,Software - Application,74742960.0,0.075B
RDZN,"Roadzen, Inc.",Technology,Software - Application,74417744.0,0.074B
ILLR,Triller Group Inc.,Technology,Software - Application,74064416.0,0.074B
VTSI,"VirTra, Inc.",Technology,Software - Application,67383840.0,0.067B
MFI,mF International Limited,Technology,Software - Application,64601940.0,0.065B
STEC,Santech Holdings Limited,Technology,Software - Application,59539200.0,0.06B
NVNI,Nvni Group Limited,Technology,Software - Application,56554028.0,0.057B
LGCL,Lucas GC Limited,Technology,Software - Application,55808500.0,0.056B
PHUN,"Phunware, Inc.",Technology,Software - Application,52081168.0,0.052B
YXT,YXT.COM Group Holding Limited,Technology,Software - Application,50737860.0,0.051B
WETO,Webus International Limited,Technology,Software - Application,48182200.0,0.048B
NTWK,"NetSol Technologies, Inc.",Technology,Software - Application,47423476.0,0.047B
AWRE,"Aware, Inc.",Technology,Software - Application,46891240.0,0.047B
AMOD,"Alpha Modus Holdings, Inc.",Technology,Software - Application,44477596.0,0.044B
BMR,Beamr Imaging Ltd.,Technology,Software - Application,43639020.0,0.044B
HKIT,Hitek Global Inc.,Technology,Software - Application,43363112.0,0.043B
BLIV,BeLive Holdings,Technology,Software - Application,41890324.0,0.042B
CYN,Cyngn Inc.,Technology,Software - Application,38504804.0,0.039B
AIFF,"Firefly Neuroscience, Inc.",Technology,Software - Application,35491188.0,0.035B
NUKK,Nukkleus Inc.,Technology,Software - Application,34444144.0,0.034B
NTCL,NetClass Technology Inc,Technology,Software - Application,33074124.0,0.033B
HTCR,"HeartCore Enterprises, Inc.",Technology,Software - Application,26108096.0,0.026B
IPM,Intelligent Protection Management Corp.,Technology,Software - Application,25547410.0,0.026B
CREX,"Creative Realities, Inc.",Technology,Software - Application,25245362.0,0.025B
SAGT,Sagtec Global Limited,Technology,Software - Application,24832686.0,0.025B
MTC,"MMTec, Inc.",Technology,Software - Application,24544634.0,0.025B
MNDO,MIND C.T.I. Ltd,Technology,Software - Application,24439560.0,0.024B
BLBX,Blackboxstocks Inc.,Technology,Software - Application,24189418.0,0.024B
AIXI,Xiao-I Corporation,Technology,Software - Application,21007398.0,0.021B
NXPL,NextPlat Corp,Technology,Software - Application,18285810.0,0.018B
CXAI,CXApp Inc.,Technology,Software - Application,17637332.0,0.018B
ORKT,Orangekloud Technology Inc.,Technology,Software - Application,16348963.0,0.016B
SMSI,"Smith Micro Software, Inc.",Technology,Software - Application,15540425.0,0.016B
DATS,"Myseum, Inc.",Technology,Software - Application,13344747.0,0.013B
AMST,Amesite Inc.,Technology,Software - Application,12620680.0,0.013B
BNZI,"Banzai International, Inc.",Technology,Software - Application,11480759.0,0.011B
JTAI,Jet.AI Inc.,Technology,Software - Application,11316572.0,0.011B
WCT,Wellchange Holdings Company Limited,Technology,Software - Application,11180324.0,0.011B
YAAS,Youxin Technology Ltd,Technology,Software - Application,10125390.0,0.01B
VS,Versus Systems Inc.,Technology,Software - Application,9558276.0,0.01B
MASK,3 E Network Technology Group Limited,Technology,Software - Application,8411558.0,0.008B
IFBD,"Infobird Co., Ltd",Technology,Software - Application,8106684.0,0.008B
BZAIW,"Blaize Holdings, Inc.",Technology,Software - Application,8037747.0,0.008B
FTFT,Future FinTech Group Inc.,Technology,Software - Application,7660709.0,0.008B
ELWS,"Earlyworks Co., Ltd",Technology,Software - Application,7493219.0,0.007B
IDAI,T Stamp Inc.,Technology,Software - Application,7278576.0,0.007B
EPWK,EPWK Holdings Ltd.,Technology,Software - Application,7240575.0,0.007B
BIYA,Baiya International Group Inc.,Technology,Software - Application,7199000.0,0.007B
SOPA,Society Pass Incorporated,Technology,Software - Application,7184973.0,0.007B
OBLG,"Oblong, Inc.",Technology,Software - Application,6792396.0,0.007B
ULY,Urgent.ly Inc.,Technology,Software - Application,5986823.0,0.006B
AUUD,Auddia Inc.,Technology,Software - Application,4827442.0,0.005B
QH,Quhuo Limited,Technology,Software - Application,4743868.0,0.005B
TGL,Treasure Global Inc.,Technology,Software - Application,4481352.0,0.004B
MYSZ,"My Size, Inc.",Technology,Software - Application,3745389.0,0.004B
FRGT,"Freight Technologies, Inc.",Technology,Software - Application,3385353.0,0.003B
PET,Wag! Group Co.,Technology,Software - Application,2379663.0,0.002B
