symbol,name,sector,industry,marketCap,marketCap_str
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,3766312763392.0,3766.313B
ORCL,Oracle Corporation,Technology,Software - Infrastructure,635160756224.0,635.161B
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,371769409536.0,371.769B
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,127438823424.0,127.439B
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,111640551424.0,111.641B
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,106329636864.0,106.33B
NET,"Cloudflare, Inc.",Technology,Software - Infrastructure,72731680768.0,72.732B
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,60358770688.0,60.359B
CRWV,"CoreWeave, Inc.",Technology,Software - Infrastructure,50342457344.0,50.342B
XYZ,"Block, Inc.",Technology,Software - Infrastructure,48547270656.0,48.547B
ZS,"Zscaler, Inc.",Technology,Software - Infrastructure,43135574016.0,43.136B
AFRM,"Affirm Holdings, Inc.",Technology,Software - Infrastructure,28803610624.0,28.804B
TOST,"Toast, Inc.",Technology,Software - Infrastructure,26293299200.0,26.293B
MDB,"MongoDB, Inc.",Technology,Software - Infrastructure,25677047808.0,25.677B
VRSN,"VeriSign, Inc.",Technology,Software - Infrastructure,25535109120.0,25.535B
CPAY,"Corpay, Inc.",Technology,Software - Infrastructure,22996992000.0,22.997B
CYBR,CyberArk Software Ltd.,Technology,Software - Infrastructure,22847567872.0,22.848B
NTAP,"NetApp, Inc.",Technology,Software - Infrastructure,22514915328.0,22.515B
CHKP,Check Point Software Technologies Ltd.,Technology,Software - Infrastructure,20733964288.0,20.734B
IOT,Samsara Inc.,Technology,Software - Infrastructure,20575803392.0,20.576B
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,20533368832.0,20.533B
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,18599243776.0,18.599B
NTNX,"Nutanix, Inc.",Technology,Software - Infrastructure,18017454080.0,18.017B
FFIV,"F5, Inc.",Technology,Software - Infrastructure,17989017600.0,17.989B
KSPI,Joint Stock Company Kaspi.kz,Technology,Software - Infrastructure,17926158336.0,17.926B
RBRK,,Technology,Software - Infrastructure,17298274304.0,17.298B
OKTA,"Okta, Inc.",Technology,Software - Infrastructure,16354052096.0,16.354B
TWLO,Twilio Inc.,Technology,Software - Infrastructure,16204165120.0,16.204B
SAIL,"SailPoint, Inc.",Technology,Software - Infrastructure,11487996928.0,11.488B
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,11346134016.0,11.346B
KVYO,"Klaviyo, Inc.",Technology,Software - Infrastructure,9731480576.0,9.731B
DOX,Amdocs Limited,Technology,Software - Infrastructure,9412015104.0,9.412B
FOUR,"Shift4 Payments, Inc.",Technology,Software - Infrastructure,7996824576.0,7.997B
FOUR,"Shift4 Payments, Inc.",Technology,Software - Infrastructure,7996824576.0,7.997B
GTLB,GitLab Inc.,Technology,Software - Infrastructure,7932903936.0,7.933B
WIX,Wix.com Ltd.,Technology,Software - Infrastructure,7866083328.0,7.866B
DBX,"Dropbox, Inc.",Technology,Software - Infrastructure,7842160128.0,7.842B
CFLT,"Confluent, Inc.",Technology,Software - Infrastructure,6846616064.0,6.847B
VRNS,"Varonis Systems, Inc.",Technology,Software - Infrastructure,6613014016.0,6.613B
S,"SentinelOne, Inc.",Technology,Software - Infrastructure,6291809792.0,6.292B
PATH,UiPath Inc.,Technology,Software - Infrastructure,5949633536.0,5.95B
WEX,WEX Inc.,Technology,Software - Infrastructure,5871187968.0,5.871B
ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,5092525056.0,5.093B
OS,"OneStream, Inc.",Technology,Software - Infrastructure,5048747520.0,5.049B
QLYS,"Qualys, Inc.",Technology,Software - Infrastructure,4902761984.0,4.903B
PAY,"Paymentus Holdings, Inc.",Technology,Software - Infrastructure,4876527616.0,4.877B
BOX,"Box, Inc.",Technology,Software - Infrastructure,4727630336.0,4.728B
ZETA,Zeta Global Holdings Corp.,Technology,Software - Infrastructure,4675124736.0,4.675B
STNE,StoneCo Ltd.,Technology,Software - Infrastructure,4406119936.0,4.406B
CORZ,"Core Scientific, Inc.",Technology,Software - Infrastructure,4382604800.0,4.383B
DLO,DLocal Limited,Technology,Software - Infrastructure,4246959872.0,4.247B
CLBT,Cellebrite DI Ltd.,Technology,Software - Infrastructure,4009291264.0,4.009B
CALX,"Calix, Inc.",Technology,Software - Infrastructure,3882322944.0,3.882B
RELY,"Remitly Global, Inc.",Technology,Software - Infrastructure,3820756224.0,3.821B
EEFT,"Euronet Worldwide, Inc.",Technology,Software - Infrastructure,3820435968.0,3.82B
TENB,"Tenable Holdings, Inc.",Technology,Software - Infrastructure,3744257536.0,3.744B
AVPT,"AvePoint, Inc.",Technology,Software - Infrastructure,3467126016.0,3.467B
ODD,Oddity Tech Ltd.,Technology,Software - Infrastructure,3361421824.0,3.361B
DOCN,"DigitalOcean Holdings, Inc.",Technology,Software - Infrastructure,2969643264.0,2.97B
MQ,"Marqeta, Inc.",Technology,Software - Infrastructure,2853003008.0,2.853B
PGY,Pagaya Technologies Ltd.,Technology,Software - Infrastructure,2825317888.0,2.825B
PAGS,PagSeguro Digital Ltd.,Technology,Software - Infrastructure,2615173120.0,2.615B
PAYO,Payoneer Global Inc.,Technology,Software - Infrastructure,2504196096.0,2.504B
NN,NextNav Inc.,Technology,Software - Infrastructure,2371063040.0,2.371B
AI,"C3.ai, Inc.",Technology,Software - Infrastructure,2325581568.0,2.326B
EVTC,"EVERTEC, Inc.",Technology,Software - Infrastructure,2282877696.0,2.283B
BB,BlackBerry Limited,Technology,Software - Infrastructure,2280366592.0,2.28B
APPN,Appian Corporation,Technology,Software - Infrastructure,2278704896.0,2.279B
EVCM,EverCommerce Inc.,Technology,Software - Infrastructure,2093772544.0,2.094B
FIVN,"Five9, Inc.",Technology,Software - Infrastructure,2079911936.0,2.08B
PRGS,Progress Software Corporation,Technology,Software - Infrastructure,1995483264.0,1.995B
TDC,Teradata Corporation,Technology,Software - Infrastructure,1982609920.0,1.983B
CSGS,"CSG Systems International, Inc.",Technology,Software - Infrastructure,1845780608.0,1.846B
NYAX,Nayax Ltd.,Technology,Software - Infrastructure,1837675392.0,1.838B
RAMP,"LiveRamp Holdings, Inc.",Technology,Software - Infrastructure,1831702784.0,1.832B
NTCT,"NetScout Systems, Inc.",Technology,Software - Infrastructure,1788976128.0,1.789B
