symbol,name,sector,industry,marketCap,marketCap_str
WM,"Waste Management, Inc.",Industrials,Waste Management,91196686336.0,91.197B
RSG,"Republic Services, Inc.",Industrials,Waste Management,73049178112.0,73.049B
WCN,"Waste Connections, Inc.",Industrials,Waste Management,47517237248.0,47.517B
GFL,GFL Environmental Inc.,Industrials,Waste Management,18181783552.0,18.182B
CLH,"Clean Harbors, Inc.",Industrials,Waste Management,12990352384.0,12.99B
CWST,"Casella Waste Systems, Inc.",Industrials,Waste Management,6257623552.0,6.258B
MEG,"Montrose Environmental Group, Inc.",Industrials,Waste Management,1095998720.0,1.096B
NVRI,Enviri Corporation,Industrials,Waste Management,911322432.0,0.911B
ABAT,American Battery Technology Company,Industrials,Waste Management,228534048.0,0.229B
PESI,"Perma-Fix Environmental Services, Inc.",Industrials,Waste Management,219610688.0,0.22B
ESGL,ESGL Holdings Limited,Industrials,Waste Management,112067416.0,0.112B
ENGS,Energys Group Limited,Industrials,Waste Management,62842496.0,0.063B
LNZA,"LanzaTech Global, Inc.",Industrials,Waste Management,49090352.0,0.049B
QRHC,Quest Resource Holding Corporation,Industrials,Waste Management,38628252.0,0.039B
DXST,Decent Holding Inc.,Industrials,Waste Management,19175000.0,0.019B
CDTG,CDT Environmental Technology Investment Holdings Limited,Industrials,Waste Management,7271749.0,0.007B
AQMS,"Aqua Metals, Inc.",Industrials,Waste Management,5370920.0,0.005B
GWAV,"Greenwave Technology Solutions, Inc.",Industrials,Waste Management,3881834.0,0.004B
