ticker,name,sector,industry,marketCap
TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,1197411926016.0
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,828829663232.0
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,773207031808.0
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,656726491136.0
ORCL,Oracle Corporation,Technology,Software - Infrastructure,635160756224.0
V,Visa Inc.,Financial Services,Credit Services,682783866880.0
MA,Mastercard Incorporated,Financial Services,Credit Services,538149289984.0
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,487246823424.0
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,426685595648.0
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,404893564928.0
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,367845769216.0
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,375828643840.0
SAP,SAP SE,Technology,Software - Application,316957556736.0
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,371684212736.0
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,296910159872.0
GE,GE Aerospace,Industrials,Aerospace & Defense,291833085952.0
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail,335395356672.0
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,323580100608.0
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,263258718208.0
CRM,"Salesforce, Inc.",Technology,Software - Application,244974993408.0
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,260152885248.0
IBM,International Business Machines Corporation,Technology,Information Technology Services,226815557632.0
NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers - General,254044028928.0
TM,Toyota Motor Corporation,Consumer Cyclical,Auto Manufacturers,253590880256.0
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,280641208320.0
NVS,Novartis AG,Healthcare,Drug Manufacturers - General,245447524352.0
MS,Morgan Stanley,Financial Services,Capital Markets,240217227264.0
HSBC,HSBC Holdings plc,Financial Services,Banks - Diversified,223558762496.0
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,225602813952.0
ABT,Abbott Laboratories,Healthcare,Medical Devices,230889439232.0
SHEL,Shell plc,Energy,Oil & Gas Integrated,214750674944.0
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,223743393792.0
DIS,The Walt Disney Company,Communication Services,Entertainment,212838940672.0
AXP,American Express Company,Financial Services,Credit Services,230531776512.0
RTX,RTX Corporation,Industrials,Aerospace & Defense,212292452352.0
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,210113265664.0
NOW,"ServiceNow, Inc.",Technology,Software - Application,190390386688.0
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,196311449600.0
HDB,HDFC Bank Limited,Financial Services,Banks - Regional,182005940224.0
T,AT&T Inc.,Communication Services,Telecom Services,209434918912.0
RY,Royal Bank of Canada,Financial Services,Banks - Diversified,205002670080.0
